"accepted_taxa","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Avena strigosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avenella flexuosa","Deschampsia flexuosa","5","1",2,"5",31.075,NA,"Pd",0.389115556,"7","Summer",190.565878
"Avenula pubescens","Helictotrichon pubescens","","",4,"5",66.125,NA,"",1.73,"9","Late summer",161.4249037
"Ballota nigra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbarea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbarea intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbarea stricta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbarea verna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbarea vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bassia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bassia scoparia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellardia trixago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellevalia trifoliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellis","Bellidastrum michelii_Bellis perennis","5","1",7.5,"1_5",11.089583335,NA,"Pd",1.205875,"1_8","Late summer_Winter",200.6635227
"Bellis annua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellis pappulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bellis perennis","Bellis perennis","5","1",12,"1",12.17916667,NA,"Pd",0.11175,"1","Winter",375.6370454
"Bellis sylvestris","Bellidastrum michelii","","",3,"5",10,NA,"",2.3,"8","Late summer",25.69
"Berberis vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Berteroa incana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Berula erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beta vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Betonica alopecuros","Stachys alopecuros","","",4,"6",15,NA,"",1.09,"10","Autumn",NA
"Betula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Betula pendula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Betula pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens bipinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens frondosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens subalternans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens tripartita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bifora radians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bifora testiculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biscutella auriculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Biserrula pelecinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bituminaria bituminosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackstonia perfoliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackstonia perfoliata perfoliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolboschoenus maritimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bombycilaena erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boraginaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borago officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothriochloa barbinodis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothriochloa ischaemum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachypodium","Brachypodium phoenicoides_Brachypodium pinnatum","4","1",2.5,"5_6",52.5,NA,"Pd",3.1152291665,"7_9","Late summer_Summer",224.38333335
"Brachypodium distachyon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachypodium phoenicoides","Brachypodium phoenicoides","","",2,"5",60,NA,"",2.768333333,"7","Summer",221.55
"Brachypodium pinnatum","Brachypodium pinnatum","4","1",3,"6",45,NA,"Pd",3.462125,"9","Late summer",227.2166667
"Brachypodium retusum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachypodium sylvaticum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachythecium rutabulum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica barrelieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica juncea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica napus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica napus napus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica oleracea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica rapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica tournefortii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassicaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briza","Briza media","4","1",4,"5",31.75833333,NA,"Pd",0.380935088,"9","Late summer",235.425
"Briza maxima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briza media","Briza media","4","1",4,"5",31.75833333,NA,"Pd",0.380935088,"9","Late summer",235.425
"Briza minor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromeliaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus","Bromus erectus_Bromus hordeaceus","3","0_1",3,"5",57.98833333,NA,"Nd_Pd",3.2743656865,"8","Late summer",257.75210285
"Bromus arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus arvensis arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus benekenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus catharticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus commutatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus commutatus decipiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus diandrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus erectus","Bromus erectus","3","1",3,"5",76.48333333,NA,"Nd",4.018966667,"8","Late summer",228.5619048
"Bromus fasciculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus grossus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus hordeaceus","Bromus hordeaceus","","0",3,"5",39.49333333,NA,"Pd",2.529764706,"8","Late summer",286.9423009
"Bromus hordeaceus hordeaceus","Bromus hordeaceus","","0",3,"5",39.49333333,NA,"Pd",2.529764706,"8","Late summer",286.9423009
"Bromus hordeaceus thominei","Bromus hordeaceus","","0",3,"5",39.49333333,NA,"Pd",2.529764706,"8","Late summer",286.9423009
"Bromus inermis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus japonicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus lanceolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus lepidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus madritensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus racemosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus ramosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus rigidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus rubens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus secalinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus squarrosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus sterilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryonia alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryonia cretica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryonia cretica dioica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryonia dioica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buglossoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buglossoides arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bunias erucago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bunias orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bunium","Bunium bulbocastanum","","0",2,"6",61.66666667,NA,"",1.406,"8","Late summer",177.1
"Bunium bulbocastanum","Bunium bulbocastanum","","0",2,"6",61.66666667,NA,"",1.406,"8","Late summer",177.1
"Bunium pachypodum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buphthalmum salicifolium","Buphthalmum salicifolium","3","1",4,"6",36.25,NA,"",0.373333333,"10","Autumn",215.2
"Bupleurum rotundifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bupleurum subovatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bupleurum tenuissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cakile maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calamagrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calamagrostis canescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calamagrostis epigejos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calendula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calendula arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calendula officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calepina irregularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calystegia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calystegia sepium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calystegia sepium sepium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelina alyssum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelina microcarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelina neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelina rumelica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelina sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campanula","Campanula glomerata_Campanula patula_Campanula rotundifolia","3","0_1",4.33333333333333,"5_6",29.4206666666667,0.775,"Md_Mpd",0.0780829303333333,"10_9","Autumn_Late summer",368.513493166667
"Campanula erinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campanula glomerata","Campanula glomerata","","0",4,"6",26.02,0.55,"Mpd",0.148285714,"10","Autumn",370.6083976
"Campanula patula","Campanula patula","","0",4,"5",30,1,"",0.02344,"9","Late summer",471.1820819
"Campanula persicifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campanula rapunculoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campanula rapunculus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campanula rotundifolia","Campanula rotundifolia","3","1",5,"5",32.242,NA,"Md",0.062523077,"10","Autumn",263.75
"Cannabis sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capsella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capsella bursa-pastoris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capsella rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardamine","Cardamine pratensis","4","1",4,"4",38.75,0.4,"",0.609512821,"8","Late summer",280.4
"Cardamine flexuosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardamine hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardamine pratensis","Cardamine pratensis","4","1",4,"4",38.75,0.4,"",0.609512821,"8","Late summer",280.4
"Cardueae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduncellus mitissimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus acanthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus crispus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus crispus crispus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus litigiosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus nigrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus nutans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus personata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus pycnocephalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus tenuiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex","Carex caryophyllea_Carex curvula_Carex echinata_Carex flacca_Carex hirta_Carex nigra_Carex ovalis_Carex pallescens","3_4_5","1",3,"3_4_5_7",29.87166666625,NA,"Pd",1.105398899625,"6_7_8_9","Late summer_Summer",214.7732339625
"Carex acuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex caryophyllea","Carex caryophyllea","4","1",3,"3",16.875,NA,"Pd",0.927828571,"6","Summer",379.4
"Carex curvula","Carex curvula","3","1",2,"7",15,NA,"Pd",2,"9","Late summer",8.8
"Carex distans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex disticha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex divulsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex echinata","Carex echinata","4","1",3,"5",40,NA,"Pd",0.674818182,"8","Late summer",174.4
"Carex ericetorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex flacca","Carex flacca","5","1",4,"3",39.8,NA,"Pd",0.8615,"7","Summer",191.3762117
"Carex halleriana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex hirta","Carex hirta","5","1",3,"4",14.7,NA,"Pd",2.043444444,"7","Summer",195.725
"Carex leersii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex leporina","Carex ovalis","","",3,"5",41.33333333,NA,"Pd",0.5332,"8","Late summer",306.85
"Carex muricata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex nigra","Carex nigra","4","1",3,"5",16.655,NA,"Pd",0.7264,"8","Late summer",218.43466
"Carex otrubae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex pairae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex pallescens","Carex pallescens","4","1",3,"5",54.61,NA,"Pd",1.076,"8","Late summer",243.2
"Carex paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex pendula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex remota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex riparia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex spicata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex vulpina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlina corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlina lanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlina vulgaris","Carlina vulgaris","","0",3,"7",35,NA,"Pd",1.633333333,"10","Autumn",33.1
"Carpinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carpinus betulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carthamus carduncellus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carthamus lanatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carum carvi","Carum carvi","","0",4,"5",42.5,0.25,"Mpd",2.159333333,"9","Late summer",255.825
"Caryophyllaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castanea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castanea sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catananche caerulea","Catananche caerulea","","",3,"7",NA,NA,"",3.28,"10","Autumn",NA
"Catapodium hemipoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catapodium rigidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caucalis platycarpos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celtis australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus spinifex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea","Centaurea jacea_Centaurea nigra_Centaurea scabiosa","3","0_1",3.33333333333333,"6_7",69.8438095233333,NA,"",3.420140606,"11_9","Autumn_Late summer",182.5658059
"Centaurea acaulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea argentea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea aspera aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea benedicta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea calcitrapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea cineraria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea collina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea cyanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea decipiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea depressa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea diluta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea eriophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea jacea","Centaurea jacea","3","1",5,"6",65.07142857,NA,"",1.72908,"11","Autumn",162.6214947
"Centaurea jacea jacea","Centaurea jacea","3","1",5,"6",65.07142857,NA,"",1.72908,"11","Autumn",162.6214947
"Centaurea jacea timbalii","Centaurea jacea","3","1",5,"6",65.07142857,NA,"",1.72908,"11","Autumn",162.6214947
"Centaurea melitensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea napifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea nigra","Centaurea nigra","3","1",2,"7",61.96,NA,"",2.45396,"9","Late summer",211.750923
"Centaurea nigrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea pullata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea scabiosa","Centaurea scabiosa","","0",3,"6",82.5,NA,"",6.077381818,"9","Late summer",173.325
"Centaurea sicula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea solstitialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurea stoebe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurium erythraea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurium erythraea erythraea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurium pulchellum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaurium tenuiflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cephalanthera rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium","Cerastium arvense_Cerastium fontanum_Cerastium tomentosum","4","1",4,"4_6",22.05925926,NA,"",0.269252777666667,"8_9","Late summer",248.053333333333
"Cerastium arvense","Cerastium arvense","4","1",5,"4",20.375,NA,"",0.18645,"9","Late summer",250.1
"Cerastium brachypetalum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium brachypetalum brachypetalum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium brachypetalum roeseri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium dichotomum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium diffusum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium fontanum","Cerastium fontanum","","1",4,"4",25.80277778,NA,"",0.152433333,"8","Late summer",280.21
"Cerastium fontanum vulgare","Cerastium fontanum","","1",4,"4",25.80277778,NA,"",0.152433333,"8","Late summer",280.21
"Cerastium fontanum vulgare","Cerastium fontanum","","1",4,"4",25.80277778,NA,"",0.152433333,"8","Late summer",280.21
"Cerastium glomeratum","Cerastium tomentosum","4","1",3,"6",20,NA,"",0.468875,"9","Late summer",213.85
"Cerastium gracile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium perfoliatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium pumilum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium semidecandrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cercis siliquastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerinthe minor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaenomeles x superba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaenorhinum minus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaenorhinum origanifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaenorhinum rubrifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum","Chaerophyllum aureum_Chaerophyllum hirsutum","3_5","1",3.5,"5_6",75.673333335,0.5,"Mpd_Pd",6.9005,"9","Late summer",254.1262464
"Chaerophyllum aureum","Chaerophyllum aureum","3","1",3,"6",86.34666667,NA,"Mpd",10.766,"9","Late summer",228.6024928
"Chaerophyllum bulbosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum hirsutum","Chaerophyllum hirsutum","5","1",4,"5",65,0.5,"Pd",3.035,"9","Late summer",279.65
"Chaerophyllum temulum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaemelum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaemelum nobile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamomilla recutita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelidonium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelidonium majus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodiastrum hybridum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodiastrum murale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album album",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium berlandieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium betaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium desiccatum leptophylloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium ficifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium hybridum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium murale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium opulifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium rubrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium vulvaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cherleria laricifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
