"accepted_taxa","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Flowering_Ecoflora","Root.depth_m_Ecoflora","Root.type_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.color_Biolflor","Flower.pollinator_Biolflor","Flower.sex_Biolflor","Flower.sex.timing_Biolflor","Flower.UV.reflectance_Biolflor","Plant.lifespan_Biolflor","Seed.mass_mg_Biolflor","Seed.length_mm_Biolflor","Strategy_Grime_Biolflor"
"Cirsium oleraceum",NA,NA,NA,NA,NA,NA,"Cirsium oleraceum","","","","",3.5,NA,NA,NA,""
"Cirsium palustre","Cirsium palustre",0.9,"",NA,"",2,"Cirsium palustre","","","","",3.5,NA,NA,NA,""
"Cirsium tuberosum","Cirsium tuberosum",0.4,"",NA,"",3.26,"Cirsium tuberosum","","","","",3.5,NA,NA,NA,""
"Cirsium vulgare","Cirsium vulgare",1.75,"",NA,"",2.54666666666667,"Cirsium vulgare","","","","",3.5,NA,NA,NA,""
"Cirsium vulgare subsp. vulgare","Cirsium vulgare",1.75,"",NA,"",2.54666666666667,"Cirsium vulgare","","","","",3.5,NA,NA,NA,""
"Cistus albidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cistus monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cistus salviifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cladanthus mixtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis","Clematis vitalba",30,"",NA,"",1.4,"Clematis vitalba","","","","",11.5,NA,NA,NA,""
"Clematis flammula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis vitalba","Clematis vitalba",30,"",NA,"",1.4,"Clematis vitalba","","","","",11.5,NA,NA,NA,""
"Clinopodium","Clinopodium menthifolium_Clinopodium nepeta_Clinopodium vulgare",0.433333333333333,"",NA,"",0.42,"Clinopodium menthifolium_Clinopodium nepeta_Clinopodium vulgare","","","","",3.5,NA,NA,NA,""
"Clinopodium nepeta","Clinopodium nepeta",0.45,"",NA,"",NA,"Clinopodium nepeta","","","","",NA,NA,NA,NA,""
"Clinopodium nepeta subsp. ascendens","Clinopodium menthifolium_Clinopodium nepeta",0.45,"",NA,"",0.46,"Clinopodium menthifolium_Clinopodium nepeta","","","","",NA,NA,NA,NA,""
"Clinopodium nepeta subsp. sylvaticum","Clinopodium menthifolium",0.45,"",NA,"",0.46,"Clinopodium menthifolium","","","","",NA,NA,NA,NA,""
"Clinopodium vulgare","Clinopodium vulgare",0.4,"",NA,"",0.38,"Clinopodium vulgare","","","","",3.5,NA,NA,NA,""
"Cochlearia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coincya monensis subsp. cheiranthos","Coincya monensis",0.225,"",NA,"",NA,"Coincya monensis","","","","",NA,NA,NA,1.66666666666667,""
"Colchicum autumnale","Colchicum autumnale",0.1,"",NA,"",5.63333333333333,"Colchicum autumnale","","","","",11.5,NA,5.597,2.52,""
"Coleostephus myconis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina communis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conium","Conium maculatum",3,"",NA,"",1.925,"Conium maculatum","","","","",11.5,NA,NA,NA,""
"Conium maculatum","Conium maculatum",3,"",NA,"",1.925,"Conium maculatum","","","","",11.5,NA,NA,NA,""
"Conopodium majus","Conopodium majus",0.7,"",NA,"",2.26,"Conopodium majus","","","","",NA,NA,NA,NA,""
"Conringia orientalis",NA,NA,NA,NA,NA,NA,"Conringia orientalis","","","","",NA,NA,1.98233333333333,2.48333333333333,""
"Convolvulus","Calystegia sepium_Calystegia soldanella_Convolvulus arvensis",0.743055555555556,"",0.75,"",21.3,"Calystegia sepium_Calystegia soldanella_Convolvulus arvensis","","","","",11.5,NA,20.6948333333333,4.65833333333333,""
"Convolvulus althaeoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus arvensis","Convolvulus arvensis",0.3125,"",0.75,"",8.7,"Convolvulus arvensis","","","","",11.5,NA,10.1096666666667,3.96666666666667,""
"Convolvulus cantabrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus sepium","Calystegia sepium",1.38333333333333,"",NA,"",33.9,"Calystegia sepium","","","","",11.5,NA,31.28,5.35,""
"Convolvulus soldanella","Calystegia soldanella",0.533333333333333,"",NA,"",NA,"Calystegia soldanella","","","","",NA,NA,NA,NA,""
"Coriandrum sativum",NA,NA,NA,NA,NA,NA,"Coriandrum sativum","","","","",NA,NA,NA,NA,""
"Coris monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corispermum nitidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus","Cornus sanguinea",2.125,"",NA,"",38.7,"Cornus alba_Cornus mas_Cornus sanguinea","","","","",11.5,NA,NA,NA,""
"Cornus alba",NA,NA,NA,NA,NA,NA,"Cornus alba","","","","",NA,NA,NA,NA,""
"Cornus mas",NA,NA,NA,NA,NA,NA,"Cornus mas","","","","",11.5,NA,NA,NA,""
"Cornus sanguinea","Cornus sanguinea",2.125,"",NA,"",38.7,"Cornus sanguinea","","","","",11.5,NA,NA,NA,""
"Cornus sanguinea subsp. sanguinea","Cornus sanguinea",2.125,"",NA,"",38.7,"Cornus sanguinea","","","","",11.5,NA,NA,NA,""
"Coronilla","Securigera varia",0.7,"",NA,"",3.3,"Securigera varia","","","","",3.5,NA,3.472,3.80333333333333,""
"Coronilla scorpioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coronilla varia","Securigera varia",0.7,"",NA,"",3.3,"Securigera varia","","","","",3.5,NA,3.472,3.80333333333333,""
"Corrigiola litoralis","Corrigiola litoralis",0.1,"",0.05,"",0.3,"Corrigiola litoralis","","","","",11.5,NA,NA,NA,""
"Corrigiola littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corylus avellana","Corylus avellana",9,"",NA,"",1080,"Corylus avellana","","","","",NA,NA,NA,NA,""
"Cosmos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota altissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota austriaca",NA,NA,NA,NA,NA,NA,"Cota austriaca","","","","",NA,NA,NA,NA,""
"Cota segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota tinctoria",NA,NA,NA,NA,NA,NA,"Cota tinctoria","","","","",3.5,NA,NA,NA,""
"Crambe hispanica abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassula tillaea","Crassula tillaea",0.03,"",NA,"",0.01,"Crassula tillaea","","","","",NA,NA,NA,0.4,""
"Crataegus","Crataegus laevigata_Crataegus monogyna",6,"",NA,"",86.25,"Crataegus laevigata_Crataegus monogyna_Crataegus rhipidophylla","","","","",3.5,NA,52.8363333333333,6.485,""
"Crataegus laevigata","Crataegus laevigata",6,"",NA,"",60.1,"Crataegus laevigata","","","","",3.5,NA,40.8,6.12666666666667,""
"Crataegus monogyna","Crataegus monogyna",6,"",NA,"",112.4,"Crataegus monogyna","","","","",3.5,NA,64.8726666666667,6.84333333333333,""
"Crataegus x subsphaerica",NA,NA,NA,NA,NA,NA,"Crataegus rhipidophylla","","","","",NA,NA,NA,NA,""
"Crepis","Crepis biennis_Crepis capillaris_Crepis foetida_Crepis vesicaria",0.54375,"",NA,"",0.305,"Crepis biennis_Crepis capillaris_Crepis foetida_Crepis pulchra_Crepis setosa_Crepis tectorum_Crepis vesicaria","","","","",18.5,NA,NA,NA,""
"Crepis bellidifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis biennis","Crepis biennis",0.75,"",NA,"",NA,"Crepis biennis","","","","",18.5,NA,NA,NA,""
"Crepis bursifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis capillaris","Crepis capillaris",0.55,"",NA,"",0.21,"Crepis capillaris","","","","",18.5,NA,NA,NA,""
"Crepis foetida","Crepis foetida",0.4,"",NA,"",NA,"Crepis foetida","","","","",NA,NA,NA,NA,""
"Crepis foetida subsp. rhoeadifolia","Crepis foetida",0.4,"",NA,"",NA,"Crepis foetida","","","","",NA,NA,NA,NA,""
"Crepis leontodontoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis neglecta corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis pulchra",NA,NA,NA,NA,NA,NA,"Crepis pulchra","","","","",NA,NA,NA,NA,""
"Crepis pygmaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis sancta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis setosa",NA,NA,NA,NA,NA,NA,"Crepis setosa","","","","",NA,NA,NA,NA,""
"Crepis tectorum",NA,NA,NA,NA,NA,NA,"Crepis tectorum","","","","",NA,NA,NA,NA,""
"Crepis vesicaria","Crepis vesicaria",0.475,"",NA,"",0.4,"Crepis vesicaria","","","","",18.5,NA,NA,NA,""
"Crepis vesicaria subsp. taraxacifolia","Crepis vesicaria",0.475,"",NA,"",0.4,"Crepis vesicaria","","","","",18.5,NA,NA,NA,""
"Cruciata glabra",NA,NA,NA,NA,NA,NA,"Cruciata glabra","","","","",NA,NA,NA,NA,""
"Cruciata laevipes","Cruciata laevipes",0.375,"",NA,"",NA,"Cruciata laevipes","","","","",11.5,NA,NA,NA,""
"Cucurbita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucurbita pepo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cullen americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cupressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta",NA,NA,NA,NA,NA,NA,"Cuscuta epilinum_Cuscuta monogyna_Cuscuta pentagona","","","","",NA,NA,0.607666666666667,1.20166666666667,""
"Cuscuta campestris",NA,NA,NA,NA,NA,NA,"Cuscuta pentagona","","","","",NA,NA,NA,1.26,""
"Cuscuta epilinum",NA,NA,NA,NA,NA,NA,"Cuscuta epilinum","","","","",NA,NA,0.607666666666667,1.14333333333333,""
"Cuscuta monogyna",NA,NA,NA,NA,NA,NA,"Cuscuta monogyna","","","","",NA,NA,NA,NA,""
"Cyanus depressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanus segetum","Centaurea cyanus",0.55,"",NA,"",3.6,"Centaurea cyanus","","","","",39.75,NA,NA,NA,""
"Cydonia oblonga",NA,NA,NA,NA,NA,NA,"Cydonia oblonga","","","","",NA,NA,NA,8.04333333333333,""
"Cymbalaria muralis","Cymbalaria muralis",NA,"",NA,"",NA,"Cymbalaria muralis","","","","",3.5,NA,0.139,0.796666666666667,""
"Cynanchum acutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynara cardunculus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynodon","Cynodon dactylon",0.2,"",NA,"",NA,"Cynodon dactylon","","","","",NA,NA,NA,NA,""
"Cynodon dactylon","Cynodon dactylon",0.2,"",NA,"",NA,"Cynodon dactylon","","","","",NA,NA,NA,NA,""
"Cynoglossum cheirifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynoglossum creticum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynoglossum officinale","Cynoglossum officinale",0.6,"",0.9,"",39,"Cynoglossum officinale","","","","",12.5,NA,NA,NA,""
"Cynosurus cristatus","Cynosurus cristatus",0.45,"",NA,"",0.57,"Cynosurus cristatus","","","","",NA,NA,NA,NA,""
"Cynosurus echinatus",NA,NA,NA,NA,NA,NA,"Cynosurus echinatus","","","","",NA,NA,NA,NA,""
"Cyperus","Cyperus longus",1.5,"",NA,"",NA,"Cyperus eragrostis_Cyperus esculentus_Cyperus longus","","","","",NA,NA,NA,NA,""
"Cyperus difformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus eragrostis",NA,NA,NA,NA,NA,NA,"Cyperus eragrostis","","","","",NA,NA,NA,NA,""
"Cyperus esculentus",NA,NA,NA,NA,NA,NA,"Cyperus esculentus","","","","",NA,NA,NA,NA,""
"Cyperus longus","Cyperus longus",1.5,"",NA,"",NA,"Cyperus longus","","","","",NA,NA,NA,NA,""
"Cyperus rotundus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cytisus scoparius","Cytisus scoparius",1.3,"",NA,"",7.6,"Cytisus scoparius","","","","",18.5,NA,8.333,3.16333333333333,""
"Dactylis","Dactylis glomerata",1.1,"",NA,"",0.51,"Dactylis glomerata","","","","",NA,NA,NA,NA,""
"Dactylis glomerata","Dactylis glomerata",1.1,"",NA,"",0.51,"Dactylis glomerata","","","","",NA,NA,NA,NA,""
"Dactylis glomerata subsp. glomerata","Dactylis glomerata",1.1,"",NA,"",0.51,"Dactylis glomerata","","","","",NA,NA,NA,NA,""
"Dasypyrum villosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Datura stramonium","Datura stramonium",2,"",NA,"",5.6,"Datura stramonium","","","","",11.5,NA,9.00733333333333,3.57,""
"Daucus","Daucus carota",0.55,"",0.3,"",1.23666666666667,"Daucus carota","","","","",3.5,NA,NA,NA,""
"Daucus carota","Daucus carota",0.55,"",0.3,"",1.23666666666667,"Daucus carota","","","","",3.5,NA,NA,NA,""
"Daucus carota subsp. carota","Daucus carota",0.55,"",0.3,"",1.23666666666667,"Daucus carota","","","","",3.5,NA,NA,NA,""
"Daucus crinitus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium",NA,NA,NA,NA,NA,NA,"Delphinium ajacis_Delphinium consolida_Delphinium hispanicum","","","","",53,NA,1.45483333333333,2.09333333333333,""
"Delphinium ajacis",NA,NA,NA,NA,NA,NA,"Delphinium ajacis","","","","",NA,NA,1.817,2.46,""
"Delphinium consolida",NA,NA,NA,NA,NA,NA,"Delphinium consolida","","","","",53,NA,1.09266666666667,2.08666666666667,""
"Delphinium halteratum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium hispanicum",NA,NA,NA,NA,NA,NA,"Delphinium hispanicum","","","","",NA,NA,NA,1.73333333333333,""
"Delphinium pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium verdunense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deschampsia cespitosa","Deschampsia cespitosa",0.733333333333333,"",0.75,"",0.28,"Deschampsia cespitosa","","","","",NA,NA,NA,NA,""
"Descurainia sophia","Descurainia sophia",0.8,"",1.5,"",0.2,"Descurainia sophia","","","","",3.5,NA,0.101666666666667,0.956666666666667,""
"Dianthus","Dianthus armeria",0.4,"",NA,"",2.58,"Dianthus armeria_Dianthus carthusianorum","","","","",3.5,NA,0.651166666666667,1.75,""
"Dianthus armeria","Dianthus armeria",0.4,"",NA,"",2.58,"Dianthus armeria","","","","",3.5,NA,0.276333333333333,1.3,""
"Dianthus carthusianorum",NA,NA,NA,NA,NA,NA,"Dianthus carthusianorum","","","","",3.5,NA,1.026,2.2,""
"Dianthus carthusianorum subsp. carthusianorum",NA,NA,NA,NA,NA,NA,"Dianthus carthusianorum","","","","",3.5,NA,1.026,2.2,""
"Digitalis","Digitalis purpurea",1,"",NA,"",0.09,"Digitalis grandiflora_Digitalis purpurea","","","","",11.5,NA,0.120833333333333,0.928333333333333,""
"Digitalis grandiflora",NA,NA,NA,NA,NA,NA,"Digitalis grandiflora","","","","",11.5,NA,0.168666666666667,1.04333333333333,""
"Digitalis purpurea","Digitalis purpurea",1,"",NA,"",0.09,"Digitalis purpurea","","","","",11.5,NA,0.073,0.813333333333333,""
"Digitaria","Digitaria ischaemum",0.175,"",NA,"",5.1,"Digitaria ischaemum_Digitaria sanguinalis","","","","",NA,NA,NA,NA,""
"Digitaria ischaemum","Digitaria ischaemum",0.175,"",NA,"",5.1,"Digitaria ischaemum","","","","",NA,NA,NA,NA,""
"Digitaria sanguinalis",NA,NA,NA,NA,NA,NA,"Digitaria sanguinalis","","","","",NA,NA,NA,NA,""
"Dioscorea communis","Dioscorea communis",3,"",0.3,"",24.5,"Dioscorea communis","","","","",11.5,NA,18.33,3.56,""
"Diplotaxis","Diplotaxis muralis_Diplotaxis tenuifolia",0.4375,"",0.75,"",0.28,"Diplotaxis muralis_Diplotaxis tenuifolia_Diplotaxis viminea","","","","",3.5,NA,0.235666666666667,1.13333333333333,""
"Diplotaxis erucoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxis muralis","Diplotaxis muralis",0.325,"",NA,"",0.28,"Diplotaxis muralis","","","","",NA,NA,0.190666666666667,1.08333333333333,""
"Diplotaxis tenuifolia","Diplotaxis tenuifolia",0.55,"",0.75,"",NA,"Diplotaxis tenuifolia","","","","",3.5,NA,0.280666666666667,1.18333333333333,""
"Diplotaxis viminea",NA,NA,NA,NA,NA,NA,"Diplotaxis viminea","","","","",NA,NA,NA,NA,""
"Diplotaxis virgata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dipsacus fullonum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dipsacus sativus","Dipsacus sativus",1.33333333333333,"",NA,"",1.66,"Dipsacus sativus","","","","",11.5,NA,NA,NA,""
"Dittrichia graveolens",NA,NA,NA,NA,NA,NA,"Dittrichia graveolens","","","","",NA,NA,NA,NA,""
"Dittrichia viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draba","Draba verna",0.105,"",0.05,"",3.59,"Draba verna","","","","",7.5,NA,0.022,0.446666666666667,""
"Draba verna","Draba verna",0.105,"",0.05,"",3.59,"Draba verna","","","","",7.5,NA,0.022,0.446666666666667,""
"Dryopteris","Dryopteris filix-mas",1.05,"",NA,"",NA,"Dryopteris filix-mas","","","","",NA,NA,NA,NA,""
"Dryopteris filix-mas","Dryopteris filix-mas",1.05,"",NA,"",NA,"Dryopteris filix-mas","","","","",NA,NA,NA,NA,""
"Dysphania ambrosioides",NA,NA,NA,NA,NA,NA,"Dysphania ambrosioides","","","","",NA,NA,NA,0.713333333333333,""
"Ecballium elaterium","Ecballium elaterium",0.5,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinaria capitata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa",NA,NA,NA,NA,NA,NA,"Echinochloa crus-galli","","","","",NA,NA,NA,NA,""
"Echinochloa colona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa crus-galli",NA,NA,NA,NA,NA,NA,"Echinochloa crus-galli","","","","",NA,NA,NA,NA,""
"Echinops ritro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium","Echium plantagineum_Echium vulgare",0.475,"",1.125,"",3.25,"Echium vulgare","","","","",53,NA,NA,NA,""
"Echium arenarium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium asperrimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium plantagineum","Echium plantagineum",0.4,"",NA,"",3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium vulgare","Echium vulgare",0.55,"",1.125,"",2.7,"Echium vulgare","","","","",53,NA,NA,NA,""
"Eleocharis palustris","Eleocharis palustris",0.45,"",NA,"",0.96,"Eleocharis palustris","","","","",NA,NA,NA,NA,""
"Elymus","Elymus caninus",0.65,"",NA,"",4.04,"Elymus caninus","","","","",NA,NA,NA,NA,""
"Elymus caninus","Elymus caninus",0.65,"",NA,"",4.04,"Elymus caninus","","","","",NA,NA,NA,NA,""
"Elytrigia","Elymus repens_Thinopyrum junceum",0.575,"",1.5,"",2.02,"Elymus repens_Thinopyrum elongatum_Thinopyrum intermedium","","","","",NA,NA,NA,NA,""
"Elytrigia campestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytrigia elongata",NA,NA,NA,NA,NA,NA,"Thinopyrum elongatum","","","","",NA,NA,NA,NA,""
"Elytrigia intermedia",NA,NA,NA,NA,NA,NA,"Thinopyrum intermedium","","","","",NA,NA,NA,NA,""
"Elytrigia intermedia subsp. intermedia",NA,NA,NA,NA,NA,NA,"Thinopyrum intermedium","","","","",NA,NA,NA,NA,""
"Elytrigia juncea","Thinopyrum junceum",0.4,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytrigia repens","Elymus repens",0.75,"",1.5,"",2.02,"Elymus repens","","","","",NA,NA,NA,NA,""
"Ephippiger perforatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium","Epilobium ciliatum_Epilobium hirsutum_Epilobium lanceolatum_Epilobium montanum_Epilobium obscurum_Epilobium palustre_Epilobium parviflorum_Epilobium roseum_Epilobium tetragonum",0.624074074074074,"",NA,"",0.0883333333333333,"Epilobium ciliatum_Epilobium hirsutum_Epilobium lanceolatum_Epilobium montanum_Epilobium obscurum_Epilobium palustre_Epilobium parviflorum_Epilobium roseum_Epilobium tetragonum_Epilobium tetragonum subsp. lamyi","","","","",14,NA,0.0761305114638448,1.44866666666667,""
"Epilobium ciliatum","Epilobium ciliatum",0.825,"",NA,"",0.095,"Epilobium ciliatum","","","","",NA,NA,0.0702857142857143,1.08666666666667,""
"Epilobium hirsutum","Epilobium hirsutum",1.15,"",NA,"",0.115,"Epilobium hirsutum","","","","",21.5,NA,0.128222222222222,1.7075,""
"Epilobium lanceolatum","Epilobium lanceolatum",0.566666666666667,"",NA,"",NA,"Epilobium lanceolatum","","","","",NA,NA,0.0766666666666667,1.06,""
"Epilobium montanum","Epilobium montanum",0.283333333333333,"",NA,"",0.12,"Epilobium montanum","","","","",11.5,NA,0.12,2.67,""
"Epilobium obscurum","Epilobium obscurum",0.566666666666667,"",NA,"",0.05,"Epilobium obscurum","","","","",NA,NA,0.05,0.916666666666667,""
"Epilobium palustre","Epilobium palustre",0.375,"",NA,"",0.04,"Epilobium palustre","","","","",11.5,NA,0.04,3.1125,""
"Epilobium parviflorum","Epilobium parviflorum",0.6,"",NA,"",0.11,"Epilobium parviflorum","","","","",NA,NA,0.085,0.95,""
"Epilobium roseum","Epilobium roseum",0.7,"",NA,"",NA,"Epilobium roseum","","","","",NA,NA,0.08,0.95,""
"Epilobium tetragonum","Epilobium tetragonum",0.55,"",NA,"",NA,"Epilobium tetragonum","","","","",11.5,NA,NA,1.13333333333333,""
"Epilobium tetragonum subsp. lamyi","Epilobium tetragonum",0.55,"",NA,"",NA,"Epilobium tetragonum subsp. lamyi","","","","",NA,NA,0.035,0.9,""
"Epilobium tetragonum subsp. tetragonum","Epilobium tetragonum",0.55,"",NA,"",NA,"Epilobium tetragonum_Epilobium tetragonum subsp. lamyi","","","","",11.5,NA,0.035,1.01666666666667,""
"Epipactis","Epipactis helleborine",0.55,"",NA,"",NA,"Epipactis helleborine","","","","",11.5,NA,0.004,0.97,""
"Epipactis helleborine","Epipactis helleborine",0.55,"",NA,"",NA,"Epipactis helleborine","","","","",11.5,NA,0.004,0.97,""
"Equisetum","Equisetum arvense_Equisetum palustre_Equisetum ramosissimum_Equisetum sylvaticum_Equisetum telmateia",4.10625,"",NA,"",NA,"Equisetum arvense_Equisetum palustre_Equisetum ramosissimum_Equisetum sylvaticum_Equisetum telmateia","","","","",NA,NA,NA,NA,""
"Equisetum arvense","Equisetum arvense",NA,"",NA,"",NA,"Equisetum arvense","","","","",NA,NA,NA,NA,""
"Equisetum palustre","Equisetum palustre",0.35,"",NA,"",NA,"Equisetum palustre","","","","",NA,NA,NA,NA,""
"Equisetum ramosissimum","Equisetum ramosissimum",0.625,"",NA,"",NA,"Equisetum ramosissimum","","","","",NA,NA,NA,NA,""
"Equisetum sylvaticum","Equisetum sylvaticum",0.45,"",NA,"",NA,"Equisetum sylvaticum","","","","",NA,NA,NA,NA,""
"Equisetum telmateia","Equisetum telmateia",15,"",NA,"",NA,"Equisetum telmateia","","","","",NA,NA,NA,NA,""
"Eragrostis barrelieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis cilianensis","Poa flexuosa",0.22,"",NA,"",NA,"Eragrostis cilianensis","","","","",NA,NA,NA,NA,""
"Eragrostis minor",NA,NA,NA,NA,NA,NA,"Eragrostis minor","","","","",NA,NA,NA,NA,""
"Eragrostis pilosa",NA,NA,NA,NA,NA,NA,"Eragrostis pilosa","","","","",NA,NA,NA,NA,""
"Erigeron","Conyza canadensis_Erigeron acris_Erigeron floribundus",0.545079365079365,"",1.5,"",0.08,"Conyza canadensis_Erigeron acris_Erigeron annuus_Erigeron bonariensis_Erigeron sumatrensis","","","","",6.16666666666667,NA,NA,NA,""
"Erigeron acris","Erigeron acris",0.248571428571429,"",NA,"",0.11,"Erigeron acris","","","","",3.5,NA,NA,NA,""
"Erigeron annuus",NA,NA,NA,NA,NA,NA,"Erigeron annuus","","","","",3.5,NA,NA,NA,""
"Erigeron bonariensis",NA,NA,NA,NA,NA,NA,"Erigeron bonariensis","","","","",NA,NA,NA,NA,""
"Erigeron canadensis","Conyza canadensis",0.386666666666667,"",1.5,"",0.05,"Conyza canadensis","","","","",11.5,NA,NA,NA,""
"Erigeron canadensis x Erigeron sumatrensis","Conyza canadensis",0.386666666666667,"",1.5,"",0.05,"Conyza canadensis","","","","",11.5,NA,NA,NA,""
