"accepted_taxa","original_taxa_YvozValPol","Flower.color_YvozValPol","Flower.class_YvozValPol","Flower.type_YvozValPol","PV.Bees_YvozValPol","PV.Bumblebees_YvozValPol","PV.butterflies_YvozValPol","PV.Hoverflies_YvozValPol","Nectar.quantity_YvozValPol","Pollen.quantity_YvozValPol","Floral.symmetry_YvozValPol","Flower.UV.reflectance.centre_YvozValPol","Flower.UV.reflectanceperiphery_YvozValPol","original_taxa_SPVignes","Flowering.onset_SPVignes","Germination.range_SPVignes","Germination.start_SPVignes","Plant.height_cm_SPVignes","Strategy_Grime_SPVignes","Lifeform_Raunkier_SPVignes","original_taxa_ATVinedivers","Growth.form_ATVinedivers","Strategy.Grime_ATVinedivers","Plant.lifespan_ATVinedivers"
"Cerastium perfoliatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium pumilum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cerastium pumilum","H","Sr","A"
"Cerastium ramosissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium semidecandrum","Cerastium semidecandrum","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.528585177,3.783277449,6.106466814,5.119645385,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Cerastium semidecandrum","H","Sr","A"
"Ceratocephala falcata","Ceratocephala falcata","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden",5.03,1,7.49,5.57,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratochloa cathartica","Ceratochloa cathartica","Green","Wind flowers","Not applicable",1,1,2.458076092,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cercis siliquastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerinthe minor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cervaria rivini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaenomeles x superba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaenorhinum minus","Chaenorrhinum minus","Pink","Hymenoptere flowers","Lip flowers",4.86,5.1,7.12,4.26,"Plenty","Plenty","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaenorhinum minus subsp. minus","Chaenorrhinum minus","Pink","Hymenoptere flowers","Lip flowers",4.86,5.1,7.12,4.26,"Plenty","Plenty","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaenorhinum origanifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaenorhinum rubrifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum","Chaerophyllum temulum","White","Flowers with open nectar","Disk flowers with nectar open",4.372127401,3.837669672,6.049765584,4.709266665,"Present","Little","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum temulum","Chaerophyllum temulum","White","Flowers with open nectar","Disk flowers with nectar open",4.372127401,3.837669672,6.049765584,4.709266665,"Present","Little","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaemelum nobile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaenerion angustifolium","Epilobium angustifolium","Purple","Flowers with totally hidden nectar","Disk flowers with nectar hidden in centre of flower",3.986676378,3.602765629,5.688795705,4.174173485,"None","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaenerion fleischeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelidonium","Chelidonium majus","Yellow","Pollen flowers","Pollen flower",4.469099433,3.615258015,5.971721356,5.207057015,"Present","Plenty","Actinomorphe",3.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelidonium majus","Chelidonium majus","Yellow","Pollen flowers","Pollen flower",4.469099433,3.615258015,5.971721356,5.207057015,"Present","Plenty","Actinomorphe",3.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodiastrum hybridum","Chenopodiastrum hybridum","Green","Wind flowers occassionally visited by insect","Not applicable",1,1,3.54,4.3,"None","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodiastrum murale","Chenopodiastrum murale","Green","Wind flowers occassionally visited by insect","Not applicable",1.760052417,1.360224239,3.072395884,2.225588978,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium","Chenopodium album_Chenopodium album subsp. opulifolium_Chenopodium ficifolium_Chenopodium vulvaria","Green","Wind flowers occassionally visited by insect","Not applicable",1.5616895455,1.26323851375,3.1803731205,2.73497554375,"None","Plenty","Actinomorphe",3.5,5.5,"Chenopodium album","6","6","7",100,"C - r","Thérophytes estivaux","Chenopodium album","H","Cr","A"
"Chenopodium album","Chenopodium album","Green","Wind flowers occassionally visited by insect","Not applicable",1,1,3.54,4.3,"None","Plenty","Actinomorphe",3.5,11.5,"Chenopodium album","6","6","7",100,"C - r","Thérophytes estivaux","Chenopodium album","H","Cr","A"
"Chenopodium album subsp. album","Chenopodium album_Chenopodium album subsp. opulifolium","Green","Wind flowers occassionally visited by insect","Not applicable",1.374459697,1.1754923425,3.300248747,3.2566503625,"None","Plenty","Actinomorphe",3.5,7.5,"Chenopodium album","6","6","7",100,"C - r","Thérophytes estivaux","Chenopodium album","H","Cr","A"
"Chenopodium album subsp. opulifolium","Chenopodium album subsp. opulifolium","Green","Wind flowers occassionally visited by insect","Not applicable",1.748919394,1.350984685,3.060497494,2.213300725,"None","Plenty","Actinomorphe",3.5,3.5,"Chenopodium album","6","6","7",100,"C - r","Thérophytes estivaux","Chenopodium album","H","Cr","A"
"Chenopodium ficifolium","Chenopodium ficifolium","Green","Wind flowers occassionally visited by insect","Not applicable",1.748919394,1.350984685,3.060497494,2.213300725,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium vulvaria","Chenopodium vulvaria","Green","Wind flowers occassionally visited by insect","Not applicable",1.748919394,1.350984685,3.060497494,2.213300725,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cherleria laricifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chondrilla juncea","Chondrilla juncea","Yellow","Flowers with totally hidden nectar","Flower heads, asteraceae, only ray flowers",4.32486815,3.565687772,5.85964095,4.957384755,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrozophora tinctoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysanthemum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cicer arietinum","Cicer arietinum","Blue","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.564011674,4.199179808,6.37616339,4.660127684,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cichorium","Cichorium intybus","Blue","Flowers with totally hidden nectar","Flower heads, asteraceae, only ray flowers",5.379125674,5.237949961,7.46462532,5.092439362,"Present","Present","Actinomorphe",21.5,33.5,"Cichorium intybus","5","3","1",200,"C-s-r","Hémicryptophytes érigé","Cichorium intybus","H","C","P"
"Cichorium endivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cichorium intybus","Cichorium intybus","Blue","Flowers with totally hidden nectar","Flower heads, asteraceae, only ray flowers",5.379125674,5.237949961,7.46462532,5.092439362,"Present","Present","Actinomorphe",21.5,33.5,"Cichorium intybus","5","3","1",200,"C-s-r","Hémicryptophytes érigé","Cichorium intybus","H","C","P"
"Cicuta virosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium","Cirsium arvense_Cirsium vulgare","Pink_Purple","Flowers with totally hidden nectar","Flower heads, asteraceae, only disk flowers",3.25,7.005,8.965,1,"Plenty_Present","Little_Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Cirsium arvense_Cirsium vulgare","H","C_Cr","P"
"Cirsium arvense","Cirsium arvense","Pink","Flowers with totally hidden nectar","Flower heads, asteraceae, only disk flowers",5.5,6.58,9.45,1,"Plenty","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Cirsium arvense","H","C","P"
"Cirsium eriophorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium erisithales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium heterophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium oleraceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium palustre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium tuberosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium vulgare","Cirsium vulgare","Purple","Flowers with totally hidden nectar","Flower heads, asteraceae, only disk flowers",1,7.43,8.48,1,"Present","Little","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Cirsium vulgare","H","Cr","P"
"Cirsium vulgare subsp. vulgare","Cirsium vulgare","Purple","Flowers with totally hidden nectar","Flower heads, asteraceae, only disk flowers",1,7.43,8.48,1,"Present","Little","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Cirsium vulgare","H","Cr","P"
"Cistus albidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cistus monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cistus salviifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cladanthus mixtus","Cladanthus mixtus","Yellow","Flowers with totally hidden nectar","Not applicable",3.852504624,3.215377701,5.379825761,4.382189471,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis","Clematis vitalba","White","Pollen flowers","Pollen flower",4.96,1,3.91,5.88,"None","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Clematis vitalba","H","C","P"
"Clematis flammula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis vitalba","Clematis vitalba","White","Pollen flowers","Pollen flower",4.96,1,3.91,5.88,"None","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Clematis vitalba","H","C","P"
"Clinopodium","Clinopodium nepeta","Violet","Hymenoptere flowers","True lip flowers",4.637488862,6.184461916,7.608944096,2.258711555,"Present","Little","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clinopodium nepeta","Clinopodium nepeta","Violet","Hymenoptere flowers","True lip flowers",4.637488862,6.184461916,7.608944096,2.258711555,"Present","Little","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clinopodium nepeta subsp. ascendens","Clinopodium nepeta","Violet","Hymenoptere flowers","True lip flowers",4.637488862,6.184461916,7.608944096,2.258711555,"Present","Little","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clinopodium nepeta subsp. sylvaticum","Clinopodium nepeta","Violet","Hymenoptere flowers","True lip flowers",4.637488862,6.184461916,7.608944096,2.258711555,"Present","Little","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clinopodium vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cochlearia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coincya monensis subsp. cheiranthos","Coincya monensis subsp. cheiranthos","Yellow","Flowers with partly hidden nectar","Stalk disc flowers, stamina and pistil outside tube",5.156628151,4.289362304,6.768603145,5.832393111,"Present","Present","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colchicum autumnale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleostephus myconis","Coleostephus myconis","Yellow","Flowers with totally hidden nectar","Not applicable",3.852504624,3.215377701,5.379825761,4.382189471,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina communis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conium","Conium maculatum","White","Flowers with open nectar","Disk flowers with nectar open",4.68756427,4.10669815,6.391230739,5.048094785,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conium maculatum","Conium maculatum","White","Flowers with open nectar","Disk flowers with nectar open",4.68756427,4.10669815,6.391230739,5.048094785,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conopodium majus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conringia orientalis","Conringia orientalis","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.56,1,5.87,5.45,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus","Convolvulus arvensis_Convolvulus sepium","White","Butterfly flowers_Flowers with totally hidden nectar","Funnel flowers",3.035,2.885,6.605,3.685,"Present","Plenty","Actinomorphe",11.5,11.5,"Convolvulus arvensis","5","3","7",100,"C - r","Hémicryptophytes stolonifères-liane (géophyte à rhizome-liane)","Convolvulus arvensis","H","Cr","P"
"Convolvulus althaeoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus arvensis","Convolvulus arvensis","White","Flowers with totally hidden nectar","Funnel flowers",5.07,4.77,6.33,6.37,"Present","Plenty","Actinomorphe",11.5,11.5,"Convolvulus arvensis","5","3","7",100,"C - r","Hémicryptophytes stolonifères-liane (géophyte à rhizome-liane)","Convolvulus arvensis","H","Cr","P"
"Convolvulus cantabrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus sepium","Convolvulus sepium","White","Butterfly flowers","Funnel flowers",1,1,6.88,1,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus soldanella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coriandrum sativum","Coriandrum sativum","White","Flowers with open nectar","Disk flowers with nectar open",4.523248367,3.928205987,6.190352195,4.921070303,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coris monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corispermum nitidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus","Cornus mas_Cornus sanguinea","White_Yellow","Flowers with open nectar","Disk flowers with nectar open",4.394414931,3.9036617195,6.1020742725,4.672594032,"None_Present","Little_Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus mas","Cornus mas","Yellow","Flowers with open nectar","Disk flowers with nectar open",3.943690972,3.42972591,5.56045956,4.303940712,"None","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus sanguinea","Cornus sanguinea","White","Flowers with open nectar","Disk flowers with nectar open",4.84513889,4.377597529,6.643688985,5.041247352,"Present","Little","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus sanguinea subsp. sanguinea","Cornus sanguinea","White","Flowers with open nectar","Disk flowers with nectar open",4.84513889,4.377597529,6.643688985,5.041247352,"Present","Little","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coronilla","Coronilla scorpioides_Coronilla varia","Green_Pink","Hymenoptere flowers","Flag blossom, fabaceae type",4.837859173,5.5836383805,7.3591135355,1.6399137045,"Present","Plenty","Zygomorphe",3.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coronilla scorpioides","Coronilla scorpioides","Green","Hymenoptere flowers","Flag blossom, fabaceae type",3.865718346,4.867276761,6.378227071,2.279827409,"Present","Plenty","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coronilla varia","Coronilla varia","Pink","Hymenoptere flowers","Flag blossom, fabaceae type",5.81,6.3,8.34,1,"Present","Plenty","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corrigiola litoralis","Corrigiola litoralis","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden in centre of flower",4.674464246,3.947274302,6.288124409,5.225280304,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corrigiola littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corylus avellana","Corylus avellana","Green","Wind flowers","Not applicable",1.577297364,1.435203829,3.013029511,1.73146891,"None","Little","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cosmos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota altissima","Cota altissima","Yellow","Flowers with totally hidden nectar","Not applicable",3.890465984,3.237313456,5.414656945,4.436435109,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota austriaca","Cota austriaca","White","Flowers with totally hidden nectar","Flower heads, asteraceae, ray and disk flowers",4.307394776,3.531143529,5.828944142,4.963955057,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota tinctoria","Cota tinctoria subsp. australis","Yellow","Flowers with totally hidden nectar","Flower heads, asteraceae, ray and disk flowers",4.269407268,3.516057007,5.798206397,4.90081645,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crambe abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crambe hispanica abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassula tillaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crataegus","Crataegus monogyna","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden in centre of flower",4.305165663,3.45118923,5.779712547,5.062256037,"Plenty","Little","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Crataegus sp.","T","C","P"
"Crataegus laevigata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crataegus monogyna","Crataegus monogyna","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden in centre of flower",4.305165663,3.45118923,5.779712547,5.062256037,"Plenty","Little","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Crataegus monogyna","T","C","P"
"Crataegus x subsphaerica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis","Crepis bellidifolia_Crepis capillaris_Crepis foetida_Crepis pulchra_Crepis sancta_Crepis setosa_Crepis vesicaria_Crepis vesicaria subsp. taraxacifolia","Yellow","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens_Flower heads, asteraceae, only ray flowers",5.823653254375,5.029987277375,6.6230912195,6.68175802575,"Plenty_Present","Plenty_Present","Actinomorphe_Zygomorphe",3.5,17.75,"Crepis sp. 1_Crepis sp. 2","-","-","-",NA,"","Na","Crepis sp.","H","Na","Na"
"Crepis bellidifolia","Crepis bellidifolia","Yellow","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.685200484,3.982370894,6.315306065,5.203347928,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis biennis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crepis biennis","H","Cr","B"
"Crepis bursifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis capillaris","Crepis capillaris","Yellow","Flowers with totally hidden nectar","Flower heads, asteraceae, only ray flowers",6.27,5.43,7.83,6.97,"Present","Present","Actinomorphe",3.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis foetida","Crepis foetida","Yellow","Flowers with totally hidden nectar","Flower heads, asteraceae, only ray flowers",6.49,5.63,6.78,7.56,"Present","Plenty","Actinomorphe",3.5,33.5,"Crepis foetida","5","3","1",80,"S-r","Thérophytes estivaux","Crepis rhoeadifolia","H","Sr","B"
"Crepis foetida subsp. rhoeadifolia","Crepis foetida","Yellow","Flowers with totally hidden nectar","Flower heads, asteraceae, only ray flowers",6.49,5.63,6.78,7.56,"Present","Plenty","Actinomorphe",3.5,33.5,"Crepis foetida","5","3","1",80,"S-r","Thérophytes estivaux","Crepis rhoeadifolia","H","Sr","B"
"Crepis leontodontoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis neglecta corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis pulchra","Crepis pulchra","Yellow","Flowers with totally hidden nectar","Flower heads, asteraceae, only ray flowers",6.48,5.64,6.31,7.65,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis pygmaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis sancta","Crepis sancta","Yellow","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.74110492,4.27949592,6.525448118,4.941591436,"Present","Plenty","Zygomorphe",3.5,11.5,"Crepis sancta","2","1","1",50,"C-r","Thérophytes vernaux",NA,NA,NA,NA
"Crepis setosa","Crepis setosa","Yellow","Flowers with totally hidden nectar","Flower heads, asteraceae, only ray flowers",6.48,5.64,6.31,7.65,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Crepis setosa","H","R","A"
"Crepis tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
