"accepted_taxa","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Fruit.colour_GIFT","Growth.form_1_GIFT","Growth.form_2_GIFT","Inflorescence_GIFT","Leaf.length_cm_GIFT","Leaf.area_cm2_GIFT","Leaf.width_cm_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Plant.height_min_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT"
"Coleus amboinicus","Coleus amboinicus","","","",NA,NA,NA,NA,"","Herb","Shrub","",NA,NA,NA,"Perennial","",1.5,1,NA,"","","",0.00014,NA
"Coleus graniticola","Coleus graniticola","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",NA,0.914411119,NA,"","","",NA,NA
"Coleus monostachyus","Coleus monostachyus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,0.7,NA,"","","",0.00028,NA
"Colocasia esculenta","Colocasia esculenta","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"Orange","Herb","","",NA,NA,NA,"Perennial","C3",2,1,0.2,"Biotic","Insect","Insect",0.039,NA
"Combretum comosum hispidum","Combretum comosum","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Combretum glutinosum","Combretum glutinosum","","","",NA,NA,NA,NA,"","","Tree","",NA,NA,NA,"Perennial","C3",10.66812972,12,NA,"","","",0.08343,NA
"Combretum molle","Combretum molle","Anemochorous","Anemochorous","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",15.24018532,8,1,"Biotic","Insect","Bee",0.089592,NA
"Combretum mucronatum","Combretum mucronatum","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",NA,13,NA,"","","",NA,NA
"Combretum paniculatum","Combretum paniculatum","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","",NA,15.6666666666667,2,"","","",0.03401,NA
"Combretum platypterum","Combretum platypterum","","","",NA,NA,NA,NA,"","","Shrub","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Combretum racemosum","Combretum racemosum","Anemochorous","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","",NA,15,NA,"","","",0.01495,NA
"Combretum zenkeri","Combretum zenkeri","","","",NA,NA,NA,NA,"","","Shrub","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Commelina","Commelina acutispatha_Commelina africana_Commelina benghalensis_Commelina bracteosa_Commelina congesta_Commelina diffusa_Commelina erecta_Commelina forskaolii_Commelina gambiae_Commelina macrospatha_Commelina nigritana_Commelina schweinfurthii_Commelina subulata","Autochorous","Autochorous","Blue",0.55,0.36,NA,NA,"","Herb","Forb_Herb","",NA,NA,NA,"Annual_Perennial","C3",0.8251258034,0.5,0.120700088875,"Biotic","Insect","Bee",0.0045505,NA
"Commelina acutispatha","Commelina acutispatha","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",0.914411119,NA,NA,"","","",NA,NA
"Commelina africana","Commelina africana","Autochorous","Autochorous","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",0.914411119,0.5,0.05,"Biotic","Insect","Bee",NA,NA
"Commelina benghalensis","Commelina benghalensis","","","Blue",0.5,0.3,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",0.91,0.6,0.18,"Biotic","Insect","Bee",NA,NA
"Commelina bracteosa lagosensis","Commelina bracteosa","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.914411119,NA,NA,"","","",NA,NA
"Commelina congesta","Commelina congesta","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Commelina diffusa","Commelina diffusa","","","Blue",0.6,0.42,NA,NA,"","Herb","","",NA,NA,NA,"","",1,0.3,0.1,"","","",0.002592,NA
"Commelina erecta","Commelina erecta","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",1.828822238,0.7,0.01,"","","",0.01147,NA
"Commelina forskaolii","Commelina forskaolii","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"","",0.3,0.4,0.17,"","","",0.0025,NA
"Commelina gambiae","Commelina gambiae","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",NA,NA
"Commelina macrospatha","Commelina macrospatha","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",0.812801626,NA,0.254000508,"","","",NA,NA
"Commelina nigritana nigritana","Commelina nigritana","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","",0.406400813,NA,0.101600203,"","","",NA,NA
"Commelina schweinfurthii","Commelina schweinfurthii","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,NA,NA,"","","",0.00164,NA
"Commelina subulata","Commelina subulata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.25,NA,0.1,"","","",NA,NA
"Commiphora africana","Commiphora africana","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",6.5,5.33333333333333,0.5,"Biotic","Insect","Insect",0.0662,NA
"Commiphora pedunculata","Commiphora pedunculata","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",NA,6.5,NA,"","","",NA,NA
"Connarus africanus","Connarus africanus","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","",NA,5,4.572055596,"","","",NA,NA
"Convolvulus prostratus","Convolvulus prostratus","Anemochorous","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.00199,NA
"Conyza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus","Corchorus aestuans_Corchorus fascicularis_Corchorus olitorius_Corchorus tridens_Corchorus trilocularis","","","",NA,NA,NA,NA,"","Herb","Forb_Herb","",NA,NA,NA,"Annual","C3",2.2358429652,0.9,0.205,"Biotic","Insect","Insect",0.0007970362,NA
"Corchorus aestuans","Corchorus aestuans","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C3",5,0.4,0.02,"","","",0.000721,NA
"Corchorus fascicularis","Corchorus fascicularis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","C3",1.219214826,0.4,NA,"","","",0.00058,NA
"Corchorus olitorius","Corchorus olitorius","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",3,2,0.4,"Biotic","Insect","Insect",0.001558462,NA
"Corchorus tridens","Corchorus tridens","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",0.91,1,0.1,"","","",0.000472386,NA
"Corchorus trilocularis","Corchorus trilocularis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","C3",1.05,0.7,0.3,"Biotic","Insect","Insect",0.000653333,NA
"Coriandrum sativum","Coriandrum sativum","Unspecialized","Anthropochorous","White",0.4,0.3,NA,NA,"","Herb","","Umbel",0.75,11.6675,NA,"Annual","C3",1,0.486666666666667,0.15,"Biotic","Insect","Insect",0.0104433333333333,473.8
"Cosmos sulphureus","Cosmos sulphureus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C3",2,1,NA,"Biotic","Insect","",0.00686,NA
"Costus afer","Costus afer","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",3.048037064,2.33333333333333,0.914411119,"Biotic","Insect","Insect",NA,NA
"Costus spectabilis","Costus spectabilis","Zoochorous","Endozoochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Crassocephalum","Crassocephalum crepidioides_Crassocephalum rubens","Anemochorous","Anemochorous","Red",NA,NA,NA,NA,"","Herb","Herb","",9.5,NA,4.5,"Annual","",1.1,0.7262009265,0.475,"Biotic","Insect","Bee",0.0002175,NA
"Crassocephalum crepidioides","Crassocephalum crepidioides","Anemochorous","Anemochorous","Red",NA,NA,NA,NA,"","Herb","","",9.5,NA,4.5,"Annual","",1.2,0.8,0.2,"","","",0.00023,NA
"Crassocephalum rubens","Crassocephalum rubens","Anemochorous","Anemochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",1,0.652401853,0.75,"Biotic","Insect","Bee",0.000205,NA
"Craterostigma nummulariifolium","Craterostigma nummulariifolium","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",0.127000254,0.14,0.03,"","","",NA,NA
"Cressa cretica","Cressa cretica","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",0.5,0.2,0,"","","",NA,NA
"Crinum","Crinum jagus_Crinum ornatum","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.69,NA,0.3,"","","",NA,NA
"Crinum jagus","Crinum jagus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Crinum ornatum","Crinum ornatum","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.69,NA,0.3,"","","",NA,NA
"Crocosmia crocosmiiflora","Crocosmia × crocosmiiflora","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",1,NA,0.25,"Biotic","Insect","",0.038,NA
"Crotalaria","Crotalaria goreensis_Crotalaria grahamiana_Crotalaria juncea_Crotalaria pallida_Crotalaria retusa_Crotalaria senegalensis_Crotalaria spectabilis_Crotalaria uncinella","Zoochorous","","Yellow",2.55,1.6,1.5,0.9,"","Herb_Shrub","Herb_Shrub_Subshrub","",NA,NA,NA,"Annual_Perennial","C3",2.5,1.525,0.65,"Biotic","Insect","",0.0147579524285714,NA
"Crotalaria goreensis","Crotalaria goreensis","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","C3",5,NA,1,"","","",0.00632,NA
"Crotalaria grahamiana","Crotalaria grahamiana","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","",3,NA,NA,"","","",NA,NA
"Crotalaria juncea","Crotalaria juncea","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C3",3,1.6,1,"Biotic","Insect","",0.033216667,NA
"Crotalaria pallida","Crotalaria pallida","Zoochorous","","Yellow",NA,NA,1.5,0.9,"","","","",NA,NA,NA,"Perennial","C3",2,2,0.1,"","","",0.009834,NA
"Crotalaria retusa","Crotalaria retusa","","","",2.4,1.7,NA,NA,"","","Subshrub","",NA,NA,NA,"","C3",1.5,0.85,0.5,"","","",0.02612,NA
"Crotalaria senegalensis","Crotalaria senegalensis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","C3",1,NA,0.3,"","","",0.00562,NA
"Crotalaria spectabilis","Crotalaria spectabilis","","","Yellow",2.7,1.5,NA,NA,"","Herb","","",NA,NA,NA,"","C3",2,1.65,1,"","","",0.014545,NA
"Crotalaria uncinella","Crotalaria uncinella","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","C3",NA,NA,NA,"","","",0.00765,NA
"Croton bonplandianus","Croton bonplandianus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",1,NA,0.69,"","","",NA,NA
"Croton hirtus","Croton hirtus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.609607413,NA,NA,"","","",0.00427,NA
"Cryptolepis eburnea","Cryptolepis eburnea","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Cryptolepis nigrescens","Cryptolepis nigrescens","Anemochorous","","",NA,NA,NA,NA,"","","Herb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",0.01123,NA
"Cryptolepis sanguinolenta","Cryptolepis sanguinolenta","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",7.62009266,7,NA,"","","",NA,NA
"Cryptostegia grandiflora","Cryptostegia grandiflora","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","",2,15,NA,"","","",0.00857,NA
"Crystallopollen angustifolium","Crystallopollen angustifolium","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",NA,0.304803706,NA,"","","",0.000561666666666667,NA
"Crystallopollen serratuloides","Vernonia perrottetii","Anemochorous","Anemochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.609607413,NA,0.304803706,"","","",0.001465,NA
"Ctenium newtonii","Ctenium newtonii","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","",1.2,NA,NA,"","","",0.00044,NA
"Cucumis maderaspatanus","Cucumis maderaspatanus","Zoochorous","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",1,2,0,"","","",0.00983,NA
"Cucumis melo","Cucumis melo","Unspecialized","","Yellow",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C3",6,1.44444444444444,0,"Biotic","Insect","Insect",0.0242096666666667,NA
"Cucumis sativus","Cucumis sativus","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",4,1.375,0.5,"Biotic","Insect","Insect",0.0203186365,NA
"Cucurbita","Cucurbita moschata","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",5,0.6,4,"Biotic","Insect","Insect",0.088,NA
"Cucurbita moschata","Cucurbita moschata","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",5,0.6,4,"Biotic","Insect","Insect",0.088,NA
"Culcasia angolensis","Culcasia angolensis","","","",NA,NA,NA,NA,"","","Tree","",NA,NA,NA,"","",30.48037064,25,NA,"","","",NA,NA
"Culcasia parviflora","Culcasia parviflora","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","",NA,4,NA,"","","",NA,NA
"Culcasia scandens","Culcasia scandens","","","",NA,NA,NA,NA,"","","Herb","",NA,NA,NA,"Perennial","",NA,2.609607413,NA,"","","",NA,NA
"Cuphea carthagenensis","Cuphea carthagenensis","Autochorous","Autochorous","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",0.6,NA,0.15,"","","",7e-04,NA
"Cuphea hyssopifolia","Cuphea hyssopifolia","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Shrub","","",NA,NA,0.4,"Perennial","",0.6,NA,0.03,"Biotic","Insect","",NA,NA
"Curculigo pilosa","Curculigo pilosa","Autochorous","Autochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",NA,0.25,NA,"","","",NA,NA
"Curcuma longa","Curcuma longa","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",1.5,0.9,0.5,"","","",NA,NA
"Cuscuta campestris","Cuscuta campestris","","","White",NA,NA,0.3,0.15,"","Herb","","",NA,NA,NA,"Annual","",0.6,NA,0.01,"Biotic","Insect","Insect",0.0008095,NA
"Cyanotis lanata","Cyanotis lanata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.30480061,NA,0.050800102,"","","",NA,NA
"Cyanthillium cinereum","Cyanthillium cinereum","Anemochorous","","Violet",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",1.35,0.35,0,"","","",0.000207775,NA
"Cyathula prostrata","Cyathula prostrata","Zoochorous","Epizoochorous","Green",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","",1,0.35,0.3,"","","",NA,NA
"Cyclosorus striatus","Thelypteris striata","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Cyclospermum leptophyllum","Cyclospermum leptophyllum","Unspecialized","","White",NA,NA,NA,NA,"","Herb","","Umbel",NA,NA,NA,"Annual","C3",1.2,NA,0.05,"Biotic","Insect","",0.0002478335,NA
"Cymbopogon citratus","Cymbopogon citratus","Anemochorous","Anemochorous","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",NA,1.75,NA,"","","",NA,NA
"Cymbopogon giganteus","Cymbopogon giganteus","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C4",2.5,2,NA,"Abiotic","Wind","Wind",0.00099,NA
"Cynodon dactylon","Cynodon dactylon","","","",0.25,0.2,NA,NA,"","Herb","","Spike",NA,1.1625,0.2,"Perennial","C4",0.5,0.308,0,"Abiotic","Wind","Wind",0.00019876925,306.3
"Cynodon nlemfuensis","Cynodon nlemfuensis","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",0.6,0.3,0.2,"","","",NA,NA
"Cyperus","Cyperus acuticarinatus_Cyperus aggregatus_Cyperus albescens_Cyperus alopecuroides_Cyperus alternifolius_Cyperus amabilis_Cyperus aromaticus_Cyperus articulatus_Cyperus buchholzii_Cyperus compressus_Cyperus cuspidatus_Cyperus cyperinus_Cyperus cyperoides_Cyperus denudatus_Cyperus difformis_Cyperus digitatus_Cyperus dilatatus_Cyperus distans_Cyperus echinatus_Cyperus eragrostis_Cyperus erectus_Cyperus esculentus_Cyperus exaltatus_Cyperus flavescens_Cyperus haspan_Cyperus hortensis_Cyperus iria_Cyperus lanceolatus_Cyperus laxus_Cyperus ligularis_Cyperus luzulae_Cyperus macrostachyos_Cyperus metzii_Cyperus mindorensis_Cyperus niveus_Cyperus obtusatus_Cyperus odoratus_Cyperus papyrus_Cyperus podocarpus_Cyperus polystachyos_Cyperus pustulatus_Cyperus richardii_Cyperus rotundus_Cyperus sphacelatus_Cyperus squarrosus_Cyperus surinamensis_Cyperus tenuiculmis_Cyperus tenuifolius_Cyperus tenuis","Hydrochorous_Unspecialized_Zoochorous","Anthropochorous_Epizoochorous_Hydrochorous_Unspecialized","Brown_Green_Red",0.3075,0.2,0.195,0.095,"","Herb","Graminoid_Herb","Panicle_Spike",NA,1.415,0.45,"Annual_Perennial","C3_C4",1.12514285714286,0.879680555555556,0.1721875,"Abiotic","Wind","Wind",0.00023074031372549,307.5
"Cyperus acuticarinatus","Cyperus acuticarinatus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,NA,NA,"","","",0.00011,NA
"Cyperus aggregatus","Cyperus aggregatus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",0.6,NA,0.05,"","","",NA,NA
"Cyperus albescens","Cyperus albescens","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","C4",0.69,0.7,0.25,"","","",6e-05,NA
"Cyperus alopecuroides","Cyperus alopecuroides","","","Red",0.16,0.12,0.13,0.11,"","Herb","Graminoid","Spike",NA,NA,NA,"Perennial","",2.5,1.2,0.6,"","","",6.67e-05,NA
"Cyperus alternifolius","Cyperus alternifolius","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",2,1.2,0.5,"","","",NA,NA
"Cyperus amabilis","Cyperus amabilis","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Annual","",0.25,0.2,0.05,"","","",4.2e-05,NA
"Cyperus aromaticus","Cyperus aromaticus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",0.63,0.6,0.3,"","","",NA,NA
"Cyperus articulatus","Cyperus articulatus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",1.6,1.8,0.6,"","","",0.000126667,NA
"Cyperus buchholzii","Cyperus buchholzii","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.5,NA,0.25,"","","",0.00024,NA
"Cyperus compressus","Cyperus compressus","","","Brown",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C4",0.6,0.45,0,"","","",0.00036,NA
"Cyperus cuspidatus","Cyperus cuspidatus","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Annual","C4",0.5,NA,0,"","","",NA,NA
"Cyperus cyperinus","Cyperus cyperinus","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","C4",0.91,0.6,0.2,"","","",0.000195,NA
"Cyperus cyperoides","Cyperus cyperoides","Unspecialized","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","C4",0.75,0.5,0.1,"","","",0.000396666666666667,NA
"Cyperus denudatus","Cyperus denudatus","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",NA,0.6,NA,"","","",NA,NA
"Cyperus difformis","Cyperus difformis","Hydrochorous","Hydrochorous","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C3",1.2,0.5,0,"Abiotic","Wind","",6.125e-05,NA
"Cyperus digitatus","Cyperus digitatus","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",3,NA,0,"","","",4e-05,NA
"Cyperus dilatatus","Cyperus dilatatus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Cyperus distans","Cyperus distans","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",1.39,0.6,0.23,"","","",0.0001225,NA
"Cyperus echinatus","Cyperus echinatus","Unspecialized","Anthropochorous","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","",0.7,NA,NA,"Abiotic","Wind","",0.0001785,NA
"Cyperus eragrostis","Cyperus eragrostis","Unspecialized","Anthropochorous","",0.25,0.2,0.15,0.1,"","Herb","","",NA,NA,0.6,"Perennial","",1.4,0.6,0.2,"Abiotic","Wind","",0.00011316675,NA
"Cyperus erectus","Cyperus erectus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",0.55,0.6,0.05,"","","",0.000185,NA
"Cyperus esculentus","Cyperus esculentus","Unspecialized","Anthropochorous","",0.39,0.22,0.2,0.1,"","Herb","","",NA,NA,0.6,"Perennial","C4",1,0.555,0.05,"Abiotic","Wind","Wind",0.00015,272.9
"Cyperus exaltatus","Cyperus exaltatus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C4",1.8,1.5,1,"","","",7.4e-05,NA
"Cyperus flavescens","Cyperus flavescens","Zoochorous","","",NA,NA,NA,NA,"","Herb","","",NA,1.415,NA,"Annual","C4",0.44,0.3765,0.03,"Abiotic","Wind","Wind",8.375e-05,342.1
"Cyperus haspan","Cyperus haspan","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",1,0.75,0,"","","",6.5e-05,NA
"Cyperus hortensis","Cyperus hortensis","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",6.95e-05,NA
"Cyperus iria","Cyperus iria","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C4",1,NA,0.05,"","","",0.000168571,NA
"Cyperus lanceolatus","Cyperus lanceolatus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Cyperus laxus","Cyperus laxus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",1,NA,0,"","","",NA,NA
"Cyperus ligularis","Cyperus ligularis","Zoochorous","Epizoochorous","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C4",NA,NA,NA,"","","",NA,NA
"Cyperus luzulae","Cyperus luzulae","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",5e-05,NA
"Cyperus macrostachyos","Cyperus macrostachyos","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","C4",1.5,0.8,0.3,"","","",0.00080375,NA
"Cyperus metzii","Cyperus metzii","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",0.000375,NA
"Cyperus mindorensis","Cyperus mindorensis","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","C4",0.56,NA,0.03,"","","",NA,NA
"Cyperus niveus","Cyperus niveus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C4",0.9,0.5,0.03,"","","",0.00149,NA
"Cyperus obtusatus","Cyperus obtusatus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",0.00019,NA
"Cyperus odoratus","Cyperus odoratus","Hydrochorous","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","C4",1,0.61,0.05,"","","",9e-05,NA
"Cyperus papyrus","Cyperus papyrus","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","C4",5,5,0.17,"","","",NA,NA
"Cyperus podocarpus","Cyperus podocarpus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",0.00049,NA
"Cyperus polystachyos","Cyperus polystachyos","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,0.3,"","C4",1.1,0.4975,0.1,"Abiotic","Wind","",5.25e-05,NA
"Cyperus pustulatus","Cyperus pustulatus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",1,NA,0.3,"","","",0.000496667,NA
"Cyperus richardii","Cyperus richardii","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Cyperus rotundus","Cyperus rotundus","","","",0.43,0.26,0.3,0.07,"","Herb","","Panicle",NA,NA,0.3,"Perennial","C4",1,0.373333333333333,0,"Abiotic","Wind","",0.00022635725,NA
"Cyperus sphacelatus","Cyperus sphacelatus","","","Green",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",0.3,NA,NA,"","","",NA,NA
"Cyperus squarrosus","Cyperus squarrosus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C4",0.31,NA,0.02,"","","",3.2625e-05,NA
"Cyperus surinamensis","Cyperus surinamensis","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",2e-05,NA
"Cyperus tenuiculmis","Cyperus tenuiculmis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.7,NA,NA,"","","",0.00062,NA
"Cyperus tenuifolius","Cyperus tenuifolius","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Cyperus tenuis","Cyperus tenuis","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
