"accepted_taxa","original_taxa_Groot","Root.lateral.spread_cm.yr-1_Groot","Root.diameter_mm_Groot","Root.C.concentration_Groot","Root.C.N.ratio_Groot","Root.dry.matter_Groot","Root.length.density_cm.cm-3_Groot","Root.mass.fraction_Groot","Root.mycorrhizal.colonization_Groot","Root.N.concentration_Groot","Root.tissue.density_g.cm-3_Groot","Root.depth_m_Groot","Specific.root.length_m.g-1_Groot"
"Cenchrus echinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus pedicellatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus purpureus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus ramosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus setosus setosus","Pennisetum polystachion",NA,0.3,515,NA,NA,NA,NA,NA,4.85,0.485,NA,NA
"Cenchrus violaceus","Pennisetum violaceum",NA,NA,NA,NA,NA,NA,0.606666666666667,NA,NA,NA,NA,NA
"Centella asiatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centotheca lappacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema brasilianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema plumieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema virginianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cephalanthus tetrandrus","Cephalanthus occidentalis",NA,NA,459,NA,0.189,NA,0.435,NA,12,0.53,NA,48.9
"Cerastium glomeratum","Cerastium glomeratum",NA,NA,NA,NA,NA,NA,0.250771497,NA,14.7,NA,NA,318
"Ceratophyllum demersum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratopteris cornuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratopteris thalictroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceropegia fusiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista absus","Chamaecrista absus",NA,NA,NA,NA,NA,NA,NA,66.71,NA,NA,NA,NA
"Chamaecrista diphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista kirkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista mimosoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista nigricans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista rotundifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chasmanthera dependens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chassalia kolly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","Chenopodium album",NA,0.23030840335,522.34,53.3,0.096275,NA,0.205678834377778,0,10.87,0.3720108938,NA,215.055637619233
"Chloris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris gayana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris pycnothrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris virgata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chlorophytum lancifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christella dentata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chromolaena odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrozophora brocchiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysanthellum americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysopogon aciculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysopogon zizanioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cinnamomum verum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissampelos owariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissampelos pareira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus arguta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus erosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus microdonta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus petiolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus populnea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus quadrangularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus verticillata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citharexylum spinosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citrullus colocynthis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citrullus lanatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clausena anisata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis mauritiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cleome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum capitatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum formicarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum polycephalum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum silvanum silvanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum speciosissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum splendens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum splendidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum umbellatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum volubile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clibadium surinamense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clitoria ternatea","Clitoria ternatea",NA,NA,NA,NA,NA,NA,NA,80.23,NA,NA,NA,NA
"Cnestis ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coccinia barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coccinia grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cochlospermum planchonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cochlospermum tinctorium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cocos nucifera","Cocos nucifera",NA,0.733333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1
"Codiaeum variegatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coix lacryma-jobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola caricifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola millenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola nitida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coldenia procumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus amboinicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus graniticola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus monostachyus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colocasia esculenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum comosum hispidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum glutinosum","Combretum glutinosum",NA,NA,450.884,68.4666666666667,NA,NA,NA,NA,7.421,NA,NA,NA
"Combretum molle","Combretum molle",NA,NA,NA,NA,NA,NA,0.339,NA,NA,NA,NA,NA
"Combretum mucronatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum paniculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum platypterum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum racemosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum zenkeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina","Commelina diffusa",NA,NA,NA,NA,NA,NA,NA,18.52,NA,NA,NA,NA
"Commelina acutispatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina benghalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina bracteosa lagosensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina congesta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina diffusa","Commelina diffusa",NA,NA,NA,NA,NA,NA,NA,18.52,NA,NA,NA,NA
"Commelina erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina forskaolii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina gambiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina macrospatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina nigritana nigritana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina subulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commiphora africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commiphora pedunculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connarus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus prostratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conyza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus","Corchorus olitorius_Corchorus trilocularis",NA,NA,NA,NA,NA,NA,NA,59.7425,NA,NA,NA,NA
"Corchorus aestuans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus fascicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus olitorius","Corchorus olitorius",NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA
"Corchorus tridens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus trilocularis","Corchorus trilocularis",NA,NA,NA,NA,NA,NA,NA,39.485,NA,NA,NA,NA
"Coriandrum sativum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cosmos sulphureus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costus afer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costus spectabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum crepidioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum rubens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Craterostigma nummulariifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cressa cretica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crinum jagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crinum ornatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crocosmia crocosmiiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria","Crotalaria juncea_Crotalaria retusa_Crotalaria spectabilis",NA,NA,NA,NA,NA,NA,0.250833333333333,86.16,NA,NA,NA,NA
"Crotalaria goreensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria grahamiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria juncea","Crotalaria juncea",NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA
"Crotalaria pallida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria retusa","Crotalaria retusa",NA,NA,NA,NA,NA,NA,NA,88.32,NA,NA,NA,NA
"Crotalaria senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria spectabilis","Crotalaria spectabilis",NA,NA,NA,NA,NA,NA,0.250833333333333,NA,NA,NA,NA,NA
"Crotalaria uncinella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croton bonplandianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croton hirtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis eburnea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis nigrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis sanguinolenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptostegia grandiflora","Cryptostegia grandiflora",NA,NA,NA,NA,NA,NA,NA,48.6,NA,NA,NA,NA
"Crystallopollen angustifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystallopollen serratuloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenium newtonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucumis maderaspatanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucumis melo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucumis sativus","Cucumis sativus",NA,0.5645,NA,NA,NA,NA,0.228333333333333,NA,NA,0.07,NA,59.9775
"Cucurbita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucurbita moschata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culcasia angolensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culcasia parviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culcasia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuphea carthagenensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuphea hyssopifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curculigo pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curcuma longa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta campestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanotis lanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanthillium cinereum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyathula prostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclosorus striatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclospermum leptophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymbopogon citratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymbopogon giganteus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynodon dactylon","Cynodon dactylon",15.9,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA
"Cynodon nlemfuensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus","Cyperus alternifolius_Cyperus compressus_Cyperus cyperinus_Cyperus difformis_Cyperus esculentus_Cyperus papyrus_Cyperus rotundus",40,0.513,408.5,75.64814815,0.1702,NA,NA,9.73,13.82,NA,NA,66.37
"Cyperus acuticarinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus aggregatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus albescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus alopecuroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus alternifolius","Cyperus alternifolius",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Cyperus amabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus aromaticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus articulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus buchholzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus compressus","Cyperus compressus",NA,NA,NA,NA,NA,NA,NA,24.19,NA,NA,NA,NA
"Cyperus cuspidatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus cyperinus","Cyperus cyperinus",NA,NA,NA,NA,NA,NA,NA,24.46,NA,NA,NA,NA
"Cyperus cyperoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus denudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus difformis","Cyperus difformis",NA,0.513,408.5,75.64814815,0.1702,NA,NA,NA,5.4,NA,NA,66.37
"Cyperus digitatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus dilatatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus distans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus echinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus eragrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus erectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus esculentus","Cyperus esculentus",40,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Cyperus exaltatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus flavescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus haspan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus hortensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus iria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus lanceolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus laxus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus ligularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus luzulae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus macrostachyos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus metzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus mindorensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus niveus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus obtusatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus odoratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus papyrus","Cyperus papyrus",NA,NA,NA,NA,NA,NA,NA,NA,22.24,NA,NA,NA
"Cyperus podocarpus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus polystachyos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus pustulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus richardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus rotundus","Cyperus rotundus",40,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Cyperus sphacelatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus squarrosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus surinamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuiculmis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma adenocaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma adenopodum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma cymosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyrtococcum chaetophoron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dactylis glomerata","Dactylis glomerata",2.4,0.256879612674162,390.13400171811,73.2926695177778,0.246904418995185,13.0919514010833,0.484069108954852,49.375,8.17075374573863,0.138583823694643,0.796666666666667,304.207696484944
"Dactyloctenium aegyptium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia heudelotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia hostilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia oblongifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergiella welwitschii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia ipomoeifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniellia oliveri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danthonia decumbens","Danthonia decumbens",3.6,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA
"Datura","Datura stramonium",NA,NA,NA,NA,NA,NA,0.14,43.19,NA,NA,NA,NA
"Datura innoxia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Datura stramonium","Datura stramonium",NA,NA,NA,NA,NA,NA,0.14,43.19,NA,NA,NA,NA
"Daucus carota","Daucus carota",NA,0.314314802583333,388.294621983333,33.40981483,0.145683333333333,2.2533882,0.569956277625,NA,12.75277167125,0.329231092428571,NA,244.525713816
"Deinbollia pinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delonix regia","Delonix regia",NA,NA,NA,NA,NA,NA,NA,55.61,NA,NA,NA,NA
"Desmanthus virgatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium distortum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium incanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium intortum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium scorpiurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium tortuosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium uncinatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Detarium microcarpum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dialium guineense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichanthium annulatum","Dichanthium annulatum",NA,NA,483.74,72.2,NA,NA,NA,NA,6.7,NA,NA,NA
"Dichanthium caricosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichapetalum filicaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichapetalum madagascariense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichrocephala integrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichrostachys cinerea","Dichrostachys cinerea",NA,NA,466.073333333333,32.6666666666667,NA,NA,0.3095,NA,14.4666666666667,NA,8.63333333333333,NA
"Dicliptera elliotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicliptera paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
