"accepted_taxa","original_taxa_Baseflor","Habitat_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Growth.form_Baseflor","Fruit.type_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","Sexuality_Baseflor"
"Centrosema pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema virginianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cephalanthus tetrandrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium glomeratum","Cerastium glomeratum","Ourlets thérophytiques vernaux, nitrophiles, médio-européens, planitiaires","Cosmopolite","Blanc","Anémochore","4-6","Thérophytaie","Capsule","Cyme bipare","Autogame","Hermaphrodite"
"Ceratophyllum demersum","Ceratophyllum demersum","Herbiers aquatiques, vivaces, enracinés, européens, des eaux douces stagnantes, peu profondes, méso à eutrophiles","Eurasiatique","Vert","Hydrochore","6-9","Hémicryptophytaie","Akène","Fleur solitaire latérale","Hydrogame","Monoïque"
"Ceratopteris cornuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratopteris thalictroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceropegia fusiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista absus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista diphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista kirkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista mimosoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista nigricans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista rotundifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chasmanthera dependens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chassalia kolly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","Chenopodium album","Annuelles commensales des cultures","Cosmopolite","Blanc","Barochore","6-10","Thérophytaie","Akène","Épi de cymes triflores","Anémogame","Hermaphrodite"
"Chloris","Chloris virgata","Friches annuelles, méso-eutrophiles à eutrophiles, méditerranéo-atlantiques, vernales","Subtropical","","","","Thérophytaie","","","Anémogame",""
"Chloris barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris gayana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris pycnothrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris virgata","Chloris virgata","Friches annuelles, méso-eutrophiles à eutrophiles, méditerranéo-atlantiques, vernales","Subtropical","","","","Thérophytaie","","","Anémogame",""
"Chlorophytum lancifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christella dentata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chromolaena odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrozophora brocchiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysanthellum americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysopogon aciculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysopogon zizanioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cinnamomum verum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissampelos owariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissampelos pareira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus arguta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus erosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus microdonta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus petiolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus populnea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus quadrangularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus verticillata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citharexylum spinosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citrullus colocynthis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citrullus lanatus","Citrullus lanatus","Annuelles commensales des cultures sarclées basophiles, mésothermes","Introduit (asie)","","","","Thérophytaie","","","",""
"Clausena anisata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis mauritiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cleome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum capitatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum formicarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum polycephalum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum silvanum silvanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum speciosissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum splendens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum splendidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum umbellatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum volubile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clibadium surinamense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clitoria ternatea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cnestis ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coccinia barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coccinia grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cochlospermum planchonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cochlospermum tinctorium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cocos nucifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Codiaeum variegatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coix lacryma-jobi","Coix lacryma-jobi","Friches annuelles, méso-eutrophiles à eutrophiles, méditerranéo-atlantiques, vernales","Subtropical","Blanc","Barochore","7-10","Thérophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Cola caricifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola millenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola nitida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coldenia procumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus amboinicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus graniticola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus monostachyus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colocasia esculenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum comosum hispidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum glutinosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum molle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum mucronatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum paniculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum platypterum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum racemosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum zenkeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina acutispatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina benghalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina bracteosa lagosensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina congesta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina diffusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina forskaolii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina gambiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina macrospatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina nigritana nigritana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina subulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commiphora africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commiphora pedunculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connarus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus prostratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conyza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus","Corchorus olitorius","Annuelles commensales des cultures","Subtropical","","","","Thérophytaie","","","",""
"Corchorus aestuans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus fascicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus olitorius","Corchorus olitorius","Annuelles commensales des cultures","Subtropical","","","","Thérophytaie","","","",""
"Corchorus tridens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus trilocularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coriandrum sativum","Coriandrum sativum","Friches annuelles, méso-eutrophiles à eutrophiles, méditerranéo-atlantiques, vernales","Cosmopolite(thermo)","Blanc","Barochore","6-8","Thérophytaie","Akène","Ombelle d'ombellules","Entomogame","Hermaphrodite"
"Cosmos sulphureus","Cosmos sulphureus","Annuelles commensales des cultures","Introduit (amér. centrale)","","","","Thérophytaie","","","Entomogame","Hermaphrodite"
"Costus afer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costus spectabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum crepidioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum rubens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Craterostigma nummulariifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cressa cretica","Cressa cretica","Micromangroves de bas-niveau topographique (bas-schorre)","Subtropical","Blanc","Épizoochore","7-9","Chaméphytaie","Akène","Capitule simple","Entomogame, autogame","Hermaphrodite"
"Crinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crinum jagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crinum ornatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crocosmia crocosmiiflora","Crocosmia x crocosmiiflora aurea x pottsii","Ourlets externes et friches eutrophiles, mésohydriques à mésohygrophiles, estivaux","Introduit (afrique du sud)","Jaune","Barochore","","Hémicryptophytaie","Capsule","Racème simple","Entomogame","Hermaphrodite"
"Crotalaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria goreensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria grahamiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria juncea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria pallida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria retusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria spectabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria uncinella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croton bonplandianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croton hirtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis eburnea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis nigrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis sanguinolenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptostegia grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystallopollen angustifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystallopollen serratuloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenium newtonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucumis maderaspatanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucumis melo","Cucumis melo","Annuelles commensales des cultures","Introduit (afrique)","","","","Thérophytaie","Baie","","Entomogame","Hermaphrodite"
"Cucumis sativus","Cucumis sativus","Annuelles commensales des cultures","Introduit (himalaya)","","","","Thérophytaie","Baie","","Entomogame","Hermaphrodite"
"Cucurbita","Cucurbita moschata","Annuelles commensales des cultures","Introduit (amér. centrale)","","","","Thérophytaie","Baie","","Entomogame","Hermaphrodite"
"Cucurbita moschata","Cucurbita moschata","Annuelles commensales des cultures","Introduit (amér. centrale)","","","","Thérophytaie","Baie","","Entomogame","Hermaphrodite"
"Culcasia angolensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culcasia parviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culcasia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuphea carthagenensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuphea hyssopifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curculigo pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curcuma longa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta campestris","Cuscuta campestris","Annuelles commensales des cultures basophiles","Introduit (amér. du nord)","Blanc","Barochore","","Thérophytaie","Capsule","Glomérules","Entomogame, autogame","Hermaphrodite"
"Cyanotis lanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanthillium cinereum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyathula prostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclosorus striatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclospermum leptophyllum","Cyclospermum leptophyllum","Friches annuelles rudérales, européennes","Introduit (amér. tropicale)","","","","Thérophytaie","","","",""
"Cymbopogon citratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymbopogon giganteus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynodon dactylon","Cynodon dactylon","Prairies hygrophiles pâturées à surpiétinées, méditerranéennes","Cosmopolite(thermo)","Rose","Barochore","7-9","Hémicryptophytaie","Caryopse","Ombelle simple d'épis","Anémogame","Hermaphrodite"
"Cynodon nlemfuensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus","Cyperus aggregatus_Cyperus difformis_Cyperus eragrostis_Cyperus esculentus_Cyperus flavescens_Cyperus papyrus_Cyperus rotundus","Annuelles des tonsures hygrophiles, centro-européennes à subatlantiques_Commensales subtropicales des cultures de riz, holarctiques_Friches annuelles hygrophiles à hydrophiles, eutrophiles, pionnières, eurasiatiques_Prairies hygrophiles, subtropicales_Roselières et cariçaies méditerranéennes","Cosmopolite_Introduit (amér. du sud)_Subtropical_Subtropical(paléo)","Jaune_Marron_Rose_Vert","Barochore","7-10_7-9_8-11","Hémicryptophytaie_Thérophytaie","Akène","Cyme d'épis_Racème capituliforme","Anémogame","Monoïque"
"Cyperus acuticarinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus aggregatus","Cyperus aggregatus","Friches annuelles hygrophiles à hydrophiles, eutrophiles, pionnières, eurasiatiques","Introduit (amér. du sud)","","Barochore","","Thérophytaie","Akène","","Anémogame","Monoïque"
"Cyperus albescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus alopecuroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus alternifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus amabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus aromaticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus articulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus buchholzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus cuspidatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus cyperinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus cyperoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus denudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus difformis","Cyperus difformis","Commensales subtropicales des cultures de riz, holarctiques","Subtropical(paléo)","","Barochore","","Thérophytaie","Akène","Racème capituliforme","Anémogame","Monoïque"
"Cyperus digitatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus dilatatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus distans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus echinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus eragrostis","Cyperus eragrostis","Prairies hygrophiles, subtropicales","Introduit (amér. du sud)","Vert","Barochore","7-10","Hémicryptophytaie","Akène","Cyme d'épis","Anémogame","Monoïque"
"Cyperus erectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus esculentus","Cyperus esculentus","Roselières et cariçaies méditerranéennes","Subtropical","Rose","Barochore","8-11","Hémicryptophytaie","Akène","Cyme d'épis","Anémogame","Monoïque"
"Cyperus exaltatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus flavescens","Cyperus flavescens","Annuelles des tonsures hygrophiles, centro-européennes à subatlantiques","Cosmopolite","Jaune","Barochore","7-9","Thérophytaie","Akène","Cyme d'épis","Anémogame","Monoïque"
"Cyperus haspan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus hortensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus iria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus lanceolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus laxus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus ligularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus luzulae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus macrostachyos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus metzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus mindorensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus niveus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus obtusatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus odoratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus papyrus","Cyperus papyrus","Roselières et cariçaies méditerranéennes","Subtropical(paléo)","","Barochore","","Hémicryptophytaie","Akène","","Anémogame","Monoïque"
"Cyperus podocarpus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus polystachyos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus pustulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus richardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus rotundus","Cyperus rotundus","Roselières et cariçaies méditerranéennes","Subtropical","Marron","Barochore","8-11","Hémicryptophytaie","Akène","Cyme d'épis","Anémogame","Monoïque"
"Cyperus sphacelatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus squarrosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus surinamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuiculmis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma adenocaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma adenopodum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma cymosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyrtococcum chaetophoron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dactylis glomerata","Dactylis glomerata","Prairies mésohydriques, fauchées, planitiaires à montagnardes","Eurasiatique méridional","Vert","Épizoochore","4-9","Hémicryptophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Dactyloctenium aegyptium","Dactyloctenium aegyptium","Friches annuelles hygrophiles à hydrophiles, eutrophiles, pionnières, eurasiatiques","Introduit (afrique)","","Anémochore","","Thérophytaie","Capsule","","Entomogame","Hermaphrodite"
"Dalbergia heudelotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia hostilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia oblongifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergiella welwitschii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia ipomoeifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniellia oliveri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danthonia decumbens","Danthonia decumbens","Pelouses acidophiles médio-européennes, planitiaires-collinéennes","Européen","Vert","Myrmécochore","5-8","Hémicryptophytaie","Caryopse","Panicule d'épillets","Autogame","Hermaphrodite"
"Datura","Datura innoxia_Datura stramonium","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Cosmopolite_Introduit (amér. tropicale)","Blanc","Épizoochore","7-10","Thérophytaie","Capsule","Fleur solitaire terminale","Entomogame","Hermaphrodite"
"Datura innoxia","Datura innoxia","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Introduit (amér. tropicale)","Blanc","Épizoochore","7-10","Thérophytaie","Capsule","Fleur solitaire terminale","Entomogame","Hermaphrodite"
"Datura stramonium","Datura stramonium","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Cosmopolite","Blanc","Épizoochore","7-10","Thérophytaie","Capsule","Fleur solitaire terminale","Entomogame","Hermaphrodite"
"Daucus carota","Daucus carota","Friches vivaces mésoxérophiles, médio-européennes","Européen","Blanc","Épizoochore","5-10","Hémicryptophytaie","Akène","Ombelle d'ombellules","Entomogame","Hermaphrodite"
"Deinbollia pinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delonix regia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmanthus virgatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium distortum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium incanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium intortum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium scorpiurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium tortuosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium uncinatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Detarium microcarpum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dialium guineense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichanthium annulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichanthium caricosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichapetalum filicaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichapetalum madagascariense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichrocephala integrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichrostachys cinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicliptera elliotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicliptera paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicoma tomentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitalis purpurea","Digitalis purpurea","Mégaphorbiaies pionnières de clairières acidophiles planitiaires-collinéennes","Méditerranéen-atlantique","Rose","Épizoochore","5-9","Hémicryptophytaie","Capsule","Racème simple","Entomogame","Hermaphrodite"
"Digitaria","Digitaria ciliaris_Digitaria longiflora_Digitaria sanguinalis","Annuelles commensales des cultures sarclées acidophiles, mésohydriques, des sols sableux","Cosmopolite(thermo)","Rose","Barochore","7-10","Thérophytaie","Caryopse","Ombelle simple d'épis","Anémogame","Hermaphrodite"
"Digitaria acuminatissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria argillacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria bicornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
