"accepted_taxa","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Centotheca lappacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema brasilianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema plumieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centrosema virginianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cephalanthus tetrandrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium glomeratum","Cerastium glomeratum",7.3,4.8,5.6,5.3,0,5.8,"Cerastium glomeratum","1","Local non-specific dispersal",0.187333333333333,0.051647
"Ceratophyllum demersum","Ceratophyllum demersum",6.2,11.9,7.8,7.8,0.3,NA,"Ceratophyllum demersum","6","Epizoochory",0.8925,2.74
"Ceratopteris cornuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratopteris thalictroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceropegia fusiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista absus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista diphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista kirkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista mimosoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista nigricans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista rotundifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chasmanthera dependens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chassalia kolly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","Chenopodium album aggr.",7.9,4.2,6.8,6.3,0.3,NA,"Chenopodium album","2","Local non-specific dispersal",0.867666666666667,0.622799999999999
"Chloris",NA,NA,NA,NA,NA,NA,NA,"Chloris gayana","2","Local non-specific dispersal",1.75,0.33
"Chloris barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris gayana",NA,NA,NA,NA,NA,NA,NA,"Chloris gayana","2","Local non-specific dispersal",1.75,0.33
"Chloris pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris pycnothrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chloris virgata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chlorophytum lancifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christella dentata","Cyclosorus dentatus",3,9,1,6,0,11,NA,NA,NA,NA,NA
"Chromolaena odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrozophora brocchiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysanthellum americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysopogon aciculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysopogon zizanioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cinnamomum verum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissampelos owariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissampelos pareira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus arguta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus erosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus microdonta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus petiolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus populnea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus quadrangularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus verticillata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citharexylum spinosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Citrullus colocynthis","Citrullus colocynthis",9,1,1,2,0,12,"Citrullus colocynthis","6","Endozoochory",1.32,40.9
"Citrullus lanatus","Citrullus lanatus",9,5,8,7,1,8,"Citrullus lanatus","6","Endozoochory",0.85,81.425
"Clausena anisata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis mauritiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cleome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum capitatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum formicarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum polycephalum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum silvanum silvanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum speciosissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum splendens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum splendidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum umbellatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum volubile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clibadium surinamense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clitoria ternatea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cnestis ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coccinia barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coccinia grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cochlospermum planchonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cochlospermum tinctorium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cocos nucifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Codiaeum variegatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coix lacryma-jobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola caricifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola millenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola nitida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coldenia procumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus amboinicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus graniticola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus monostachyus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colocasia esculenta",NA,NA,NA,NA,NA,NA,NA,"Colocasia esculenta","2","Local non-specific dispersal",0.9,NA
"Combretum comosum hispidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum glutinosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum molle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum mucronatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum paniculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum platypterum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum racemosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum zenkeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina acutispatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina benghalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina bracteosa lagosensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina congesta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina diffusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina forskaolii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina gambiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina macrospatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina nigritana nigritana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina subulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commiphora africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commiphora pedunculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connarus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus prostratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conyza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus aestuans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus fascicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus olitorius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus tridens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus trilocularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coriandrum sativum","Coriandrum sativum",7.7,3.7,5.7,6,0,8.3,"Coriandrum sativum","2","Local non-specific dispersal",0.451,9.45
"Cosmos sulphureus",NA,NA,NA,NA,NA,NA,NA,"Cosmos sulphureus","","Local non-specific dispersal",NA,6.85
"Costus afer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costus spectabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum crepidioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum rubens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Craterostigma nummulariifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cressa cretica","Cressa cretica",8.3,7.3,5.7,8.7,7.3,10,"Cressa cretica","1","Local non-specific dispersal",0.19,1.8173
"Crinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crinum jagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crinum ornatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crocosmia crocosmiiflora",NA,NA,NA,NA,NA,NA,NA,"Crocosmia x crocosmiiflora","1","Local non-specific dispersal",0.11,NA
"Crotalaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria goreensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria grahamiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria juncea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria pallida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria retusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria spectabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria uncinella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croton bonplandianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croton hirtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis eburnea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis nigrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis sanguinolenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptostegia grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystallopollen angustifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystallopollen serratuloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenium newtonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucumis maderaspatanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucumis melo",NA,NA,NA,NA,NA,NA,NA,"Cucumis melo","6","Endozoochory",1.2875,7.62
"Cucumis sativus","Cucumis sativus",8,5,8,7,1,7.5,"Cucumis sativus","6","Endozoochory",1.675,16.3
"Cucurbita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucurbita moschata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culcasia angolensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culcasia parviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culcasia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuphea carthagenensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuphea hyssopifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curculigo pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curcuma longa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta campestris","Cuscuta campestris",7.2,5.1,NA,7,0,NA,"Cuscuta campestris","2","Local non-specific dispersal",0.313333333333333,0.7052
"Cyanotis lanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanthillium cinereum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyathula prostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclosorus striatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclospermum leptophyllum",NA,NA,NA,NA,NA,NA,NA,"Cyclospermum leptophyllum","2","Local non-specific dispersal",0.335,NA
"Cymbopogon citratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymbopogon giganteus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynodon dactylon","Cynodon dactylon",7.9,NA,5.1,6.5,0.7,7.3,"Cynodon dactylon","1","Local non-specific dispersal",0.220111111111111,0.219625
"Cynodon nlemfuensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus","Cyperus aggregatus_Cyperus difformis_Cyperus eragrostis_Cyperus esculentus_Cyperus flavescens_Cyperus papyrus_Cyperus rotundus",8.11666666666667,8.03333333333333,6,6.3,0.25,8.75,"Cyperus alopecuroides_Cyperus difformis_Cyperus eragrostis_Cyperus esculentus_Cyperus flavescens_Cyperus odoratus_Cyperus papyrus_Cyperus rotundus_Cyperus squarrosus","1_2","Local non-specific dispersal",0.783648148148148,0.112483333333333
"Cyperus acuticarinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus aggregatus","Cyperus aggregatus",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
"Cyperus albescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus alopecuroides",NA,NA,NA,NA,NA,NA,NA,"Cyperus alopecuroides","2","Local non-specific dispersal",1.25,0.07
"Cyperus alternifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus amabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus aromaticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus articulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus buchholzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus cuspidatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus cyperinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus cyperoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus denudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus difformis","Cyperus difformis",8,9.3,7,6,0,8.3,"Cyperus difformis","2","Local non-specific dispersal",0.383333333333333,0.06
"Cyperus digitatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus dilatatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus distans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus echinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus eragrostis","Cyperus eragrostis",7.5,8,5.5,5.5,0,7.7,"Cyperus eragrostis","2","Local non-specific dispersal",0.45,0.1055
"Cyperus erectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus esculentus","Cyperus esculentus",8.5,6.7,6,6.7,0.7,9.5,"Cyperus esculentus","2","Local non-specific dispersal",0.325,0.15
"Cyperus exaltatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus flavescens","Cyperus flavescens",8.2,7.9,4,NA,0.1,NA,"Cyperus flavescens","1","Local non-specific dispersal",0.1845,0.136883333333333
"Cyperus haspan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus hortensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus iria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus lanceolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus laxus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus ligularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus luzulae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus macrostachyos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus metzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus mindorensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus niveus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus obtusatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus odoratus",NA,NA,NA,NA,NA,NA,NA,"Cyperus odoratus","2","Local non-specific dispersal",0.6,NA
"Cyperus papyrus","Cyperus papyrus",8.5,10,6.5,6,0,8.5,"Cyperus papyrus","2","Local non-specific dispersal",3.5,NA
"Cyperus podocarpus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus polystachyos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus pustulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus richardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus rotundus","Cyperus rotundus",8,6.3,7,7.3,0.7,9.5,"Cyperus rotundus","1","Local non-specific dispersal",0.25,0.24
"Cyperus sphacelatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus squarrosus",NA,NA,NA,NA,NA,NA,NA,"Cyperus squarrosus","1","Local non-specific dispersal",0.11,0.025
"Cyperus surinamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuiculmis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma adenocaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma adenopodum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma cymosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyrtococcum chaetophoron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dactylis glomerata","Dactylis glomerata",7,NA,NA,NA,0.3,NA,"Dactylis glomerata","2","Local non-specific dispersal",0.794902777777778,0.873896388888889
"Dactyloctenium aegyptium",NA,NA,NA,NA,NA,NA,NA,"Dactyloctenium aegyptium","1","Local non-specific dispersal",0.295,0.3
"Dalbergia heudelotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia hostilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia oblongifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergiella welwitschii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia ipomoeifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniellia oliveri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danthonia decumbens","Danthonia decumbens",7.8,5.5,1.9,3.4,0,5.1,"Danthonia decumbens","1","Local non-specific dispersal",0.25,1.52915
"Datura","Datura stramonium",8.1,NA,7.9,6.6,0.7,NA,"Datura innoxia_Datura stramonium","2","Local non-specific dispersal",0.771666666666667,12.3372888888889
"Datura innoxia",NA,NA,NA,NA,NA,NA,NA,"Datura innoxia","2","Local non-specific dispersal",0.633333333333333,16
"Datura stramonium","Datura stramonium",8.1,NA,7.9,6.6,0.7,NA,"Datura stramonium","2","Local non-specific dispersal",0.91,8.67457777777777
"Daucus carota","Daucus carota",8.1,4.1,NA,6.6,0.7,NA,"Daucus carota","2","Local non-specific dispersal",0.515333333333333,1.12966912568306
"Deinbollia pinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delonix regia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmanthus virgatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium distortum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium incanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium intortum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium scorpiurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium tortuosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium uncinatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Detarium microcarpum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dialium guineense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichanthium annulatum",NA,NA,NA,NA,NA,NA,NA,"Dichanthium annulatum","2","Local non-specific dispersal",0.45,0.365
"Dichanthium caricosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichapetalum filicaule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichapetalum madagascariense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichrocephala integrifolia","Dichrocephala integrifolia",8,6,7,5,0,7,NA,NA,NA,NA,NA
"Dichrostachys cinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicliptera elliotii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicliptera paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicoma tomentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitalis purpurea","Digitalis purpurea",6.8,5.2,NA,3,0,NA,"Digitalis purpurea","2","Local non-specific dispersal",0.831333333333333,0.0750666666666666
"Digitaria","Digitaria sanguinalis",7.6,3.7,NA,5.6,0.3,NA,"Digitaria ciliaris_Digitaria sanguinalis","2","Local non-specific dispersal",0.32775,0.566
"Digitaria acuminatissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria argillacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria bicornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria ciliaris",NA,NA,NA,NA,NA,NA,NA,"Digitaria ciliaris","2","Local non-specific dispersal",0.325,0.575
"Digitaria delicatula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria diagonalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria eriantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria fuscescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria gayana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria horizontalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
