"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Combretum molle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum mucronatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum paniculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum platypterum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum racemosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum zenkeri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina acutispatha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina africana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina benghalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina bracteosa lagosensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina congesta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina diffusa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina forskaolii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina gambiae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina macrospatha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina nigritana nigritana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina subulata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commiphora africana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commiphora pedunculata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connarus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus prostratus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conyza",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus aestuans",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus fascicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus olitorius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus tridens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus trilocularis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coriandrum sativum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cosmos sulphureus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costus afer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costus spectabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum crepidioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum rubens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Craterostigma nummulariifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cressa cretica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crinum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crinum jagus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crinum ornatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crocosmia crocosmiiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria goreensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria grahamiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria juncea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria pallida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria retusa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria spectabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria uncinella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croton bonplandianus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croton hirtus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis eburnea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis nigrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis sanguinolenta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptostegia grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystallopollen angustifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystallopollen serratuloides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenium newtonii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucumis maderaspatanus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucumis melo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucumis sativus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucurbita",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucurbita moschata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culcasia angolensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culcasia parviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culcasia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuphea carthagenensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuphea hyssopifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curculigo pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curcuma longa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta campestris","Cuscuta campestris yunck.","Exposed",0.8,0.5692,"Fruit","Non-fleshy fruit",0.31,0.58,NA
"Cyanotis lanata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyanthillium cinereum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyathula prostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclosorus striatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclospermum leptophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymbopogon citratus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymbopogon giganteus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynodon dactylon","Cynodon dactylon (l.) pers.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.61,0.55,0.77
"Cynodon nlemfuensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus","Cyperus flavescens l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.6,NA,0.82
"Cyperus acuticarinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus aggregatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus albescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus alopecuroides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus alternifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus amabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus aromaticus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus articulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus buchholzii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus cuspidatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus cyperinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus cyperoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus denudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus difformis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus digitatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus dilatatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus distans",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus echinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus eragrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus erectus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus esculentus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus exaltatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus flavescens","Cyperus flavescens l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.6,NA,0.82
"Cyperus haspan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus hortensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus iria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus lanceolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus laxus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus ligularis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus luzulae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus macrostachyos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus metzii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus mindorensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus niveus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus obtusatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus odoratus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus papyrus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus podocarpus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus polystachyos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus pustulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus richardii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus rotundus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus sphacelatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus squarrosus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus surinamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuiculmis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma adenocaule",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma adenopodum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphostemma cymosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyrtococcum chaetophoron",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dactylis glomerata","Dactylis glomerata l.","Covered partly",0.9,0.9,"Fruit","Non-fleshy fruit",0.64,0.73,0.15
"Dactyloctenium aegyptium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia heudelotii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia hostilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia oblongifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergia saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalbergiella welwitschii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia ipomoeifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalechampia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniellia oliveri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danthonia decumbens","Danthonia decumbens (l.) dc.","Covered partly",1.3,NA,"Fruit","Non-fleshy fruit",0.49,0.76,NA
"Datura","Datura stramonium l.","Enclosed",NA,8.89,"Seed","Fruit with upright aperture",0.07,0.09,NA
"Datura innoxia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Datura stramonium","Datura stramonium l.","Enclosed",NA,8.89,"Seed","Fruit with upright aperture",0.07,0.09,NA
"Daucus carota","Daucus carota l.","Exposed",0.71,1.1894,"Fruit segment","Non-fleshy fruit",0.66,0.95,0.26
"Deinbollia pinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delonix regia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmanthus virgatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium distortum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium incanum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium intortum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium scorpiurus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium tortuosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmodium uncinatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Detarium microcarpum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dialium guineense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichanthium annulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichanthium caricosum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichapetalum filicaule",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichapetalum madagascariense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichrocephala integrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichrostachys cinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicliptera elliotii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicliptera paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicoma tomentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitalis purpurea","Digitalis purpurea l.","Enclosed",NA,0.0542,"Seed","Fruit with lateral aperture",0.67,0.4,NA
"Digitaria","Digitaria sanguinalis (l.) scop.","Covered partly",0.6,0.21,"Fruit","Non-fleshy fruit",0.56,0.76,NA
"Digitaria acuminatissima",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria argillacea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria bicornis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria ciliaris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria delicatula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria diagonalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria eriantha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria fuscescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria gayana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria horizontalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria humbertii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria insularis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria longiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria radicosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria sanguinalis","Digitaria sanguinalis (l.) scop.","Covered partly",0.6,0.21,"Fruit","Non-fleshy fruit",0.56,0.76,NA
"Dimetia capitellata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dinebra perrieri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dinebra retroflexa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diodia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diodia rubricosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea alata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea antaly",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea bulbifera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea cayenensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea dumetorum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea minutiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea praehensilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea preussii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea quartiniana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea sagittifolia lecardii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea smilacifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea togoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscoreophyllum volkensii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diospyros mespiliformis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diospyros monbuttensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplachne fusca",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxis tenuifolia","Diplotaxis tenuifolia (l.) dc.","Covered partly",NA,0.3,"Seed","Fruit with lateral aperture",0.3,0.62,NA
"Discoglypremna caloneura",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dissotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dissotis grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distemonanthus benthamianus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake aegyptius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake cissoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake dissectus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake kentrocaulos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake quinquefolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dolichandra unguis-cati",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dracaena mannii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drimia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drymaria cordata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dysphania ambrosioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa callopus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa colonum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa crus-galli","Echinochloa crus-galli (l.) p. beauv.","Exposed",NA,1.5,"Fruit","Non-fleshy fruit",0.6,0.91,0.4
"Echinochloa crus-pavonis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa obtusiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa polystachya",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa pyramidalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa stagnina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinops mildbraedii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eclipta prostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ehretia cymosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ehretia trachyphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elaeis guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis complanata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis filiculmis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephantopus mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephantopus scaber",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleusine indica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleutheranthera ruderalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elymandra androphila",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytraria marginata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytraria maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia coccinea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia fosbergii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia praetermissa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia sonchifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enneapogon cenchroides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Entada africana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enteropogon prieurii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum ramosissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis atrovirens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis cilianensis","Eragrostis cilianensis (all.) vignolo ex janch.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Eragrostis ciliaris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis gangetica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis macilenta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis minor","Eragrostis minor host","Covered partly",NA,0.07,"Fruit","Non-fleshy fruit",0.66,NA,NA
"Eragrostis pilosa","Eragrostis pilosa (l.) p. beauv.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Eragrostis squamata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis tenella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis tenuifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis tremula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis turgida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis unioloides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erechtites hieraciifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erechtites valerianifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erica galioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron bonariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron floribundus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron karvinskianus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron sumatrensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriochloa barbatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriosema",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriosema glomeratum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriosema psoraleoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eryngium foetidum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erythrina senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erythrina vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethulia conyzoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euadenia trifoliolata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eugenia leonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia convolvuloides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia forskaolii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia heterophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia heterophylla cyathophora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia hirta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia hypericifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia hyssopifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia peplus","Euphorbia peplus l.","Enclosed",NA,0.5,"Seed","Explosive release mechanism",0.28,0.3,NA
"Euphorbia prostrata","Euphorbia prostrata aiton","Enclosed",NA,NA,"Seed","Explosive release mechanism",NA,NA,NA
"Euphorbia scordiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euploca ovalifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euploca strigosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolvulus alsinoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolvulus nummularius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faidherbia albida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Falcataria falcata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus exasperata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus mucuso",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus simplicissima",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus sur",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus trichopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus variifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus vogeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis dichotoma",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis dichotoma podocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis scabrida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis signata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flagellaria guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fleischmannia microstemon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flueggea virosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Freesia laxa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuchsia boliviana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuirena ciliaris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuirena stricta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuirena umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria muralis","Fumaria muralis sond. ex w. d. j. koch","Exposed",1.5,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Funtumia africana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Funtumia elastica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gagnebina pterocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galinsoga parviflora","Galinsoga parviflora cav.","Exposed",NA,0.2,"Fruit","Non-fleshy fruit",0.89,0.84,NA
"Galium aparine","Galium aparine agg._Galium aparine l.","Exposed",1.5,9.815,"Fruit segment","Non-fleshy fruit",0.145,0.915,NA
"Gambeya subnuda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gamochaeta purpurea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garcinia kola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gardenia erubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geophila repens",NA,NA,NA,NA,NA,NA,NA,NA,NA
